"ITTER107","Territorio","TIPO_DATO_OCC","Tipo aggregato","BRANCA_ATTIVITAREV2","Branca di attività (NACE Rev2)","POSIZPROF","Posizione nella professione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","C27","fabbricazione di apparecchiature elettriche","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",6.653,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","P","istruzione","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",6.028,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","O","amministrazione pubblica e difesa, assicurazione sociale obbligatoria","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",0,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","H","trasporti e magazzinaggio","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",8.606,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","C29_30","fabbricazione di mezzi di trasporto","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",22,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","I","servizi di alloggio e di ristorazione","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",15.971,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","D_E","fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",7.527,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","J","servizi di informazione e comunicazione","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",19.83,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","E","fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",5.699,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","BTE","attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",10.242,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","C22_23","fabbricazione di articoli in gomma e materie plastiche e altri prodotti della lavorazione di minerali non metalliferi","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",7.247,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","BTF","attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento, costruzioni","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",8.889,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","GTU","servizi","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",15.9,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","C31T33","fabbricazione di mobili, altre industrie manifatturiere, riparazione e installazione di macchine e apparecchiature","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",7.725,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","LTN","attività immobiliari,attività professionali, scientifiche e tecniche, attività amministrative e di servizi di supporto","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",9.559,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","C19","fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",0,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","C20","fabbricazione di prodotti chimici","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",23.81,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","RTU","attività artistiche, di intrattenimento e divertimento, riparazione di beni per la casa e altri servizi","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",27.584,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","BTF","attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento, costruzioni","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",11.499,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","G","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",9.816,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","T","attività di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",57.002,,
