MacroRegione,Genere,AgeGroup,Condizione professionale europea,Year,Occupati,DescrAtecoLiv1,Count
Total,F,15-64,occupati,2018,94897130,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",47962
Total,F,15-64,occupati,2018,94897130,Costruzioni,39088
Total,F,15-64,occupati,2018,94897130,Estrazione di minerali da cave e miniere,516
Total,F,15-64,occupati,2018,94897130,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",13175
Total,F,15-64,occupati,2018,94897130,"Fornitura di energia elettrica, gas, vapore e aria condizionata",1006
Total,F,15-64,occupati,2018,94897130,Istruzione,5631
Total,F,15-64,occupati,2018,94897130,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",30741
Total,F,15-64,occupati,2018,94897130,Non determinato,218855
Total,F,15-64,occupati,2018,94897130,Organizzazioni ed organismi extraterritoriali,95
Total,F,15-64,occupati,2018,94897130,Sanita' e assistenza sociale,51073
Total,F,15-64,occupati,2018,94897130,Servizi di informazione e comunicazione,5298
Total,F,15-64,occupati,2018,94897130,Trasporto e magazzinaggio,47028
Total,F,15-64,occupati,2019,95636300,"Agricoltura, silvicoltura e pesca",1182
Total,F,15-64,occupati,2019,95636300,Altre attivita' di servizi,6002
Total,F,15-64,occupati,2019,95636300,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",13642
Total,F,15-64,occupati,2019,95636300,"Attivita' artistiche, sportive, di intrattenimento e divertimento",4443
Total,F,15-64,occupati,2019,95636300,Attivita' dei servizi di alloggio e di ristorazione,31021
Total,F,15-64,occupati,2019,95636300,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",35
Total,F,15-64,occupati,2019,95636300,Attivita' finanziarie e assicurative,4616
Total,F,15-64,occupati,2019,95636300,Attivita' immobiliari,1688
Total,F,15-64,occupati,2019,95636300,Attivita' manifatturiere,101961
Total,F,15-64,occupati,2019,95636300,"Attivita' professionali, scientifiche e tecniche",5960
Total,F,15-64,occupati,2019,95636300,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",47992
Total,F,15-64,occupati,2019,95636300,Costruzioni,40022
Total,F,15-64,occupati,2019,95636300,Estrazione di minerali da cave e miniere,451
Total,F,15-64,occupati,2019,95636300,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",13229
