Anno,Regione,Occupati,Area Geografica,DescrAtecoLiv1,Settore,Numero Incidenti,Percentage,PercentageOccupati
2018,Campania,1640948,Sud,Attivita' manifatturiere,Secondario,1988.0,0.15735267578700082,0.12114948188486167
2018,Campania,1640948,Sud,"Attivita' professionali, scientifiche e tecniche",Terziario,173.0,0.013693165448265163,0.010542686300845608
2018,Campania,1640948,Sud,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,1520.0,0.12030989295585576,0.09262938252766084
2018,Campania,1640948,Sud,Costruzioni,Secondario,1079.0,0.08540419374958445,0.06575467351799082
2018,Campania,1640948,Sud,Estrazione di minerali da cave e miniere,Primario,7.0,0.0005540587175598621,0.00042658268269317494
2018,Campania,1640948,Sud,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,1205.0,0.09537725066566197,0.07343316180646797
2018,Campania,1640948,Sud,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,31.0,0.002453688606336532,0.001889151880498346
2018,Campania,1640948,Sud,Istruzione,Terziario,75.0,0.0059363434024270936,0.00457052874314116
2018,Campania,1640948,Sud,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,1167.0,0.09236950334176558,0.07111742724327645
2018,Campania,1640948,Sud,Non determinato,Terziario,8936.0,0.7072955285878468,0.5445632646494588
2018,Campania,1640948,Sud,Organizzazioni ed organismi extraterritoriali,Terziario,4.0,0.00031660498146277835,0.00024376153296752854
2018,Campania,1640948,Sud,Sanita' e assistenza sociale,Terziario,2063.0,0.16328901918942793,0.12572001062800284
2018,Campania,1640948,Sud,Servizi di informazione e comunicazione,Terziario,254.0,0.020104416322886422,0.015478857343438063
2018,Campania,1640948,Sud,Trasporto e magazzinaggio,Terziario,2150.0,0.17017517753624337,0.13102182397004658
2018,Emilia Romagna,1996335,NordEst,"Agricoltura, silvicoltura e pesca",Primario,221.0,0.017492425225818505,0.011070286299644098
2018,Emilia Romagna,1996335,NordEst,Altre attivita' di servizi,Terziario,832.0,0.0658538361442579,0.04167637195160131
2018,Emilia Romagna,1996335,NordEst,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,1172.0,0.09276525956859405,0.058707581643361456
2018,Emilia Romagna,1996335,NordEst,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,479.0,0.037913446530167705,0.02399396894809739
2018,Emilia Romagna,1996335,NordEst,Attivita' dei servizi di alloggio e di ristorazione,Terziario,3968.0,0.3140721416110761,0.1987642354614832
2018,Emilia Romagna,1996335,NordEst,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Terziario,3.0,0.00023745373609708378,0.00015027537963317782
2018,Emilia Romagna,1996335,NordEst,Attivita' finanziarie e assicurative,Terziario,500.0,0.03957562268284729,0.02504589660552963
2018,Emilia Romagna,1996335,NordEst,Attivita' immobiliari,Terziario,251.0,0.01986696258678934,0.012573040095975875
2018,Emilia Romagna,1996335,NordEst,Attivita' manifatturiere,Secondario,18517.0,1.4656436104365667,0.9275497348891845
2018,Emilia Romagna,1996335,NordEst,"Attivita' professionali, scientifiche e tecniche",Terziario,730.0,0.057780409116957046,0.03656700904407326
2018,Emilia Romagna,1996335,NordEst,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,6457.0,0.5110795913262899,0.32344270876380965
2018,Emilia Romagna,1996335,NordEst,Costruzioni,Secondario,5158.0,0.40826212359625264,0.2583734693826437
2018,Emilia Romagna,1996335,NordEst,Estrazione di minerali da cave e miniere,Primario,37.0,0.0029285960785306996,0.001853396348809193
2018,Emilia Romagna,1996335,NordEst,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,949.0,0.07511453185204416,0.04753711175729525
2018,Emilia Romagna,1996335,NordEst,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,84.0,0.006648704610718345,0.004207710629728978
2018,Emilia Romagna,1996335,NordEst,Istruzione,Terziario,648.0,0.05129000699697009,0.032459482000766406
2018,Emilia Romagna,1996335,NordEst,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,4072.0,0.32230387112910835,0.20397378195543334
2018,Emilia Romagna,1996335,NordEst,Non determinato,Terziario,27858.0,2.2049953933975197,1.395457175273689
2018,Emilia Romagna,1996335,NordEst,Organizzazioni ed organismi extraterritoriali,Terziario,2.0,0.00015830249073138918,0.00010018358642211852
2018,Emilia Romagna,1996335,NordEst,Sanita' e assistenza sociale,Terziario,6631.0,0.5248519080199208,0.332158680782534
2018,Emilia Romagna,1996335,NordEst,Servizi di informazione e comunicazione,Terziario,503.0,0.039813076418944375,0.02519617198516281
2018,Emilia Romagna,1996335,NordEst,Trasporto e magazzinaggio,Terziario,7285.0,0.576616822489085,0.3649187135425668
2018,Friuli Venezia Giulia,,NordEst,"Agricoltura, silvicoltura e pesca",Primario,36.0,0.002849444833165005,0.0
2018,Friuli Venezia Giulia,,NordEst,Altre attivita' di servizi,Terziario,133.0,0.010527115633637379,0.0
2018,Friuli Venezia Giulia,,NordEst,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,372.0,0.02944426327603839,0.0
2018,Friuli Venezia Giulia,,NordEst,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,116.0,0.009181544462420572,0.0
2018,Friuli Venezia Giulia,,NordEst,Attivita' dei servizi di alloggio e di ristorazione,Terziario,680.0,0.053822846848672314,0.0
2018,Friuli Venezia Giulia,,NordEst,Attivita' finanziarie e assicurative,Terziario,105.0,0.008310880763397931,0.0
2018,Friuli Venezia Giulia,,NordEst,Attivita' immobiliari,Terziario,58.0,0.004590772231210286,0.0
2018,Friuli Venezia Giulia,,NordEst,Attivita' manifatturiere,Secondario,3687.0,0.2918306416633159,0.0
2018,Friuli Venezia Giulia,,NordEst,"Attivita' professionali, scientifiche e tecniche",Terziario,119.0,0.009418998198517655,0.0
2018,Friuli Venezia Giulia,,NordEst,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,985.0,0.07796397668520916,0.0
2018,Friuli Venezia Giulia,,NordEst,Costruzioni,Secondario,1124.0,0.08896599979104071,0.0
2018,Friuli Venezia Giulia,,NordEst,Estrazione di minerali da cave e miniere,Primario,11.0,0.0008706636990226404,0.0
2018,Friuli Venezia Giulia,,NordEst,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,154.0,0.012189291786316966,0.0
2018,Friuli Venezia Giulia,,NordEst,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,8.0,0.0006332099629255567,0.0
2018,Friuli Venezia Giulia,,NordEst,Istruzione,Terziario,186.0,0.014722131638019194,0.0
2018,Friuli Venezia Giulia,,NordEst,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,829.0,0.06561638240816081,0.0
2018,Friuli Venezia Giulia,,NordEst,Non determinato,Terziario,6805.0,0.5386242247135516,0.0
2018,Friuli Venezia Giulia,,NordEst,Organizzazioni ed organismi extraterritoriali,Terziario,12.0,0.0009498149443883351,0.0
2018,Friuli Venezia Giulia,,NordEst,Sanita' e assistenza sociale,Terziario,819.0,0.06482486995450387,0.0
2018,Friuli Venezia Giulia,,NordEst,Servizi di informazione e comunicazione,Terziario,77.0,0.006094645893158483,0.0
2018,Friuli Venezia Giulia,,NordEst,Trasporto e magazzinaggio,Terziario,977.0,0.07733076672228362,0.0
2018,Friuli-Venezia Giulia,507129,,,,,0.0,0.0
2018,Lazio,2324973,Centro,"Agricoltura, silvicoltura e pesca",Primario,52.0,0.0041158647590161185,0.0022365851130314203
