Anno,DescrAtecoLiv1,Area Geografica,Occupati,Numero morti,Percentage,PercentageOccupati
2018,Servizi di informazione e comunicazione,NordEst,4120203,2,0.07867820613690008,0.5339976597046648
2018,Servizi di informazione e comunicazione,NordOvest,6208992,4,0.15735641227380015,0.8047145242904261
2018,Servizi di informazione e comunicazione,Total,22958728,13,0.5114083398898506,2.9755589765348844
2018,Trasporto e magazzinaggio,Centro,4884790,32,1.2588512981904012,0.633091725856408
2018,Trasporto e magazzinaggio,NordEst,5123503,39,1.5342250196695515,0.6640300517935231
2018,Trasporto e magazzinaggio,NordOvest,6865335,61,2.3996852871754526,0.8897796596644691
2018,Trasporto e magazzinaggio,Sud,5511350,44,1.730920535011802,0.7142968445519079
2018,Trasporto e magazzinaggio,Total,22958728,176,6.923682140047208,2.9755589765348844
2019,"Agricoltura, silvicoltura e pesca",NordEst,2653823,3,0.12335526315789473,0.3342682329280419
2019,"Agricoltura, silvicoltura e pesca",NordOvest,6263555,2,0.08223684210526315,0.7889401296535608
2019,"Agricoltura, silvicoltura e pesca",Sud,4183177,5,0.20559210526315788,0.5269014488966399
2019,"Agricoltura, silvicoltura e pesca",Total,23109405,10,0.41118421052631576,2.9107969798168365
2019,Altre attivita' di servizi,Centro,3917589,3,0.12335526315789473,0.49344871619860664
2019,Altre attivita' di servizi,NordEst,2534178,2,0.08223684210526315,0.3191980783892217
2019,Altre attivita' di servizi,NordOvest,5052768,3,0.12335526315789473,0.6364327352484911
2019,Altre attivita' di servizi,Sud,1625581,1,0.041118421052631575,0.20475370375168175
2019,Altre attivita' di servizi,Total,23109405,9,0.3700657894736842,2.9107969798168365
2019,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Centro,3917589,3,0.12335526315789473,0.49344871619860664
2019,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",NordEst,2653823,5,0.20559210526315788,0.3342682329280419
2019,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",NordOvest,6263555,7,0.287828947368421,0.7889401296535608
2019,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Sud,3505754,10,0.41118421052631576,0.4415751143389799
2019,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Total,23109405,25,1.0279605263157896,2.9107969798168365
2019,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Centro,1584130,1,0.041118421052631575,0.19953265000276924
2019,"Attivita' artistiche, sportive, di intrattenimento e divertimento",NordEst,2526178,2,0.08223684210526315,0.3181904204318431
2019,"Attivita' artistiche, sportive, di intrattenimento e divertimento",NordOvest,4451020,1,0.041118421052631575,0.5606382151814092
2019,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Total,23109405,4,0.1644736842105263,2.9107969798168365
2019,Attivita' dei servizi di alloggio e di ristorazione,Centro,4550082,15,0.6167763157894737,0.5731157917531391
2019,Attivita' dei servizi di alloggio e di ristorazione,NordEst,4679835,16,0.6578947368421052,0.5894591221211072
2019,Attivita' dei servizi di alloggio e di ristorazione,NordOvest,6865303,9,0.3700657894736842,0.8647346497206425
2019,Attivita' dei servizi di alloggio e di ristorazione,Sud,5214432,22,0.9046052631578948,0.6567954872511979
2019,Attivita' dei servizi di alloggio e di ristorazione,Total,23109405,62,2.549342105263158,2.9107969798168365
