Anno,Regione,Occupati,Area Geografica,Settore,Count,Percentage,PercentageOccupati
2020,Campania,1569819,Sud,Terziario,138,74.19354838709677,0.008790822381433782
2020,Emilia Romagna,1966238,NordEst,Primario,2,1.3513513513513513,0.00010171708613097701
2020,Emilia Romagna,1966238,NordEst,Secondario,59,39.86486486486486,0.003000654040863822
2020,Emilia Romagna,1966238,NordEst,Terziario,87,58.78378378378378,0.0044246932466975005
2020,Friuli Venezia Giulia,0,NordEst,Primario,1,3.571428571428571,inf
2020,Friuli Venezia Giulia,0,NordEst,Secondario,13,46.42857142857143,inf
2020,Friuli Venezia Giulia,0,NordEst,Terziario,14,50.0,inf
2020,Friuli-Venezia Giulia,506216,,,0,0.0,0.0
2020,Lazio,2258785,Centro,Secondario,35,22.29299363057325,0.0015495055970355745
2020,Lazio,2258785,Centro,Terziario,122,77.70700636942675,0.005401133795381145
2020,Liguria,579517,NordOvest,Secondario,20,33.33333333333333,0.003451149836846891
2020,Liguria,579517,NordOvest,Terziario,40,66.66666666666666,0.006902299673693782
2020,Lombardia,4315137,NordOvest,Primario,1,0.29069767441860467,2.317423525603011e-05
2020,Lombardia,4315137,NordOvest,Secondario,93,27.03488372093023,0.0021552038788108002
2020,Lombardia,4315137,NordOvest,Terziario,250,72.67441860465115,0.005793558814007528
2020,Marche,611817,Centro,Primario,1,1.8518518518518516,0.00016344756683779626
2020,Marche,611817,Centro,Secondario,24,44.44444444444444,0.00392274160410711
2020,Marche,611817,Centro,Terziario,29,53.70370370370371,0.004739979438296092
2020,Molise,103979,Sud,Secondario,5,29.411764705882355,0.0048086632877792634
2020,Molise,103979,Sud,Terziario,12,70.58823529411765,0.011540791890670232
2020,Piemonte,1748168,NordOvest,Primario,2,1.3793103448275863,0.00011440548048013692
2020,Piemonte,1748168,NordOvest,Secondario,36,24.82758620689655,0.0020592986486424646
2020,Piemonte,1748168,NordOvest,Terziario,107,73.79310344827587,0.006120693205687325
2020,Puglia,1188112,Sud,Secondario,29,26.36363636363636,0.002440847327524678
2020,Puglia,1188112,Sud,Terziario,81,73.63636363636363,0.0068175390872241
2020,Sardegna,551740,,,0,0.0,0.0
2020,Sicilia,1305304,Sud,Secondario,25,23.809523809523807,0.0019152626514589706
2020,Sicilia,1305304,Sud,Terziario,80,76.19047619047619,0.006128840484668706
2020,Toscana,1544467,Centro,Primario,2,2.4691358024691357,0.00012949451169885792
2020,Toscana,1544467,Centro,Secondario,22,27.160493827160494,0.0014244396286874372
2020,Toscana,1544467,Centro,Terziario,57,70.37037037037037,0.003690593583417451
2020,Total,0,Total,Primario,26,0.7696862048549438,inf
2020,Total,0,Total,Secondario,992,29.366489046773236,inf
2020,Total,0,Total,Terziario,2360,69.86382474837181,inf
2020,Trentino Alto Adige,486175,NordEst,Primario,1,3.8461538461538463,0.00020568725253252427
2020,Trentino Alto Adige,486175,NordEst,Secondario,5,19.230769230769234,0.0010284362626626214
2020,Trentino Alto Adige,486175,NordEst,Terziario,20,76.92307692307693,0.004113745050650486
2020,Umbria,348364,Centro,Primario,1,7.6923076923076925,0.000287056067791161
2020,Umbria,348364,Centro,Secondario,6,46.15384615384615,0.0017223364067469656
2020,Umbria,348364,Centro,Terziario,6,46.15384615384615,0.0017223364067469656
2020,Valle D'Aosta,53103,NordOvest,Secondario,1,50.0,0.001883132779692296
2020,Valle D'Aosta,53103,NordOvest,Terziario,1,50.0,0.001883132779692296
2020,Veneto,2075427,NordEst,Secondario,44,40.74074074074074,0.002120045658074218
2020,Veneto,2075427,NordEst,Terziario,64,59.25925925925925,0.0030837027753806805
2021,Abruzzo,484387,Sud,Secondario,16,34.78260869565217,0.0033031439737234896
2021,Abruzzo,484387,Sud,Terziario,30,65.21739130434783,0.006193394950731543
2021,Basilicata,189066,Sud,Secondario,8,32.0,0.00423132662668063
2021,Basilicata,189066,Sud,Terziario,17,68.0,0.008991569081696339
2021,Calabria,520963,Sud,Secondario,10,37.03703703703704,0.0019195221157740571
2021,Calabria,520963,Sud,Terziario,17,62.96296296296296,0.003263187596815897
2021,Campania,1592095,Sud,Primario,2,1.3513513513513513,0.00012562064449671658
2021,Campania,1592095,Sud,Secondario,46,31.08108108108108,0.0028892748234244816
2021,Campania,1592095,Sud,Terziario,100,67.56756756756756,0.006281032224835829
2021,Emilia Romagna,1978443,NordEst,Primario,1,0.8,5.054479709549377e-05
2021,Emilia Romagna,1978443,NordEst,Secondario,50,40.0,0.002527239854774689
2021,Emilia Romagna,1978443,NordEst,Terziario,74,59.199999999999996,0.00374031498506654
2021,Friuli Venezia Giulia,0,NordEst,Secondario,18,47.368421052631575,inf
2021,Friuli Venezia Giulia,0,NordEst,Terziario,20,52.63157894736842,inf
2021,Friuli-Venezia Giulia,510300,,,0,0.0,0.0
2021,Lazio,2265747,Centro,Primario,1,0.7575757575757576,4.413555441097351e-05
2021,Lazio,2265747,Centro,Secondario,34,25.757575757575758,0.0015006088499730996
2021,Lazio,2265747,Centro,Terziario,97,73.48484848484848,0.00428114877786443
2021,Liguria,594600,NordOvest,Secondario,13,30.952380952380953,0.002186343760511268
2021,Liguria,594600,NordOvest,Terziario,29,69.04761904761905,0.004877228388832829
2021,Lombardia,4332517,NordOvest,Primario,1,0.4975124378109453,2.3081271233326958e-05
2021,Lombardia,4332517,NordOvest,Secondario,76,37.81094527363184,0.0017541766137328485
2021,Lombardia,4332517,NordOvest,Terziario,124,61.69154228855721,0.0028620776329325425
2021,Marche,616562,Centro,Secondario,12,33.33333333333333,0.0019462762868940999
2021,Marche,616562,Centro,Terziario,24,66.66666666666666,0.0038925525737881998
2021,Molise,100276,Sud,Secondario,3,15.789473684210526,0.0029917427898998763
2021,Molise,100276,Sud,Terziario,16,84.21052631578947,0.015955961546132675
2021,Piemonte,1767300,NordOvest,Secondario,46,38.655462184873954,0.002602840491144684
2021,Piemonte,1767300,NordOvest,Terziario,73,61.34453781512605,0.004130594692468737
2021,Puglia,1206761,Sud,Primario,1,0.9708737864077669,8.286644994327792e-05
2021,Puglia,1206761,Sud,Secondario,24,23.300970873786408,0.0019887947986386703
