MacroRegione,Genere,AgeGroup,Condizione professionale europea,Year,Occupati,Nazionalità,FinalCount
Sud,M,15+,occupati,2020,3733431,Italiano,483
Sud,M,15+,occupati,2021,3766436,Non Italiano,42
Sud,M,15+,occupati,2021,3766436,Italiano,409
Sud,M,15+,occupati,2022,3861005,Non Italiano,31
Sud,M,15+,occupati,2022,3861005,Italiano,306
NordOvest,F,15+,occupati,2018,3002792,Non Italiano,64
NordOvest,F,15+,occupati,2018,3002792,Italiano,284
NordOvest,F,15+,occupati,2019,3034379,Non Italiano,72
NordOvest,F,15+,occupati,2019,3034379,Italiano,253
NordOvest,F,15+,occupati,2020,2943136,Non Italiano,97
NordOvest,F,15+,occupati,2020,2943136,Italiano,454
NordOvest,F,15+,occupati,2021,2976347,Non Italiano,60
NordOvest,F,15+,occupati,2021,2976347,Italiano,307
NordOvest,F,15+,occupati,2022,3016913,Non Italiano,94
NordOvest,F,15+,occupati,2022,3016913,Italiano,239
Centro,F,15+,occupati,2018,2164381,Non Italiano,34
Centro,F,15+,occupati,2018,2164381,Italiano,207
Centro,F,15+,occupati,2019,2186161,Non Italiano,40
Centro,F,15+,occupati,2019,2186161,Italiano,205
Centro,F,15+,occupati,2020,2098847,Non Italiano,51
Centro,F,15+,occupati,2020,2098847,Italiano,254
Centro,F,15+,occupati,2021,2108793,Non Italiano,49
Centro,F,15+,occupati,2021,2108793,Italiano,223
Centro,F,15+,occupati,2022,2191008,Non Italiano,44
Centro,F,15+,occupati,2022,2191008,Italiano,219
Sud,F,15+,occupati,2018,2249186,Non Italiano,54
Sud,F,15+,occupati,2018,2249186,Italiano,333
Sud,F,15+,occupati,2019,2262671,Non Italiano,46
Sud,F,15+,occupati,2019,2262671,Italiano,321
Sud,F,15+,occupati,2020,2158411,Non Italiano,40
Sud,F,15+,occupati,2020,2158411,Italiano,483
Sud,F,15+,occupati,2021,2201174,Non Italiano,42
Sud,F,15+,occupati,2021,2201174,Italiano,409
Sud,F,15+,occupati,2022,2253765,Non Italiano,31
Sud,F,15+,occupati,2022,2253765,Italiano,306
Sud,M,15-64,occupati,2018,3724961,Non Italiano,54
Sud,M,15-64,occupati,2018,3724961,Italiano,333
Sud,M,15-64,occupati,2019,3711566,Non Italiano,46
Sud,M,15-64,occupati,2019,3711566,Italiano,321
Sud,M,15-64,occupati,2020,3617396,Non Italiano,40
Sud,M,15-64,occupati,2020,3617396,Italiano,483
Sud,M,15-64,occupati,2021,3643252,Non Italiano,42
Sud,M,15-64,occupati,2021,3643252,Italiano,409
Sud,M,15-64,occupati,2022,3733527,Non Italiano,31
Sud,M,15-64,occupati,2022,3733527,Italiano,306
