Anno,Regione,Occupati,Area Geografica,DescrAtecoLiv1,Settore,Count,Percentage,PercentageOccupati
2018,Total,,Total,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,26,1.0228166797797011,0.0
2018,Total,,Total,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,7,0.2753737214791503,0.0
2018,Total,,Total,Attivita' dei servizi di alloggio e di ristorazione,Terziario,70,2.753737214791503,0.0
2018,Total,,Total,Attivita' finanziarie e assicurative,Terziario,9,0.35405192761605037,0.0
2018,Total,,Total,Attivita' immobiliari,Terziario,4,0.15735641227380015,0.0
2018,Total,,Total,Attivita' manifatturiere,Secondario,203,7.985837922895358,0.0
2018,Total,,Total,"Attivita' professionali, scientifiche e tecniche",Terziario,17,0.6687647521636507,0.0
2018,Total,,Total,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,114,4.484657749803304,0.0
2018,Total,,Total,Costruzioni,Secondario,186,7.317073170731707,0.0
2018,Total,,Total,Estrazione di minerali da cave e miniere,Primario,3,0.11801730920535011,0.0
2018,Total,,Total,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,38,1.4948859166011015,0.0
2018,Total,,Total,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,3,0.11801730920535011,0.0
2018,Total,,Total,Istruzione,Terziario,3,0.11801730920535011,0.0
2018,Total,,Total,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,73,2.8717545239968527,0.0
2018,Total,,Total,Non determinato,Terziario,256,10.07081038552321,0.0
2018,Total,,Total,Sanita' e assistenza sociale,Terziario,40,1.5735641227380015,0.0
2018,Total,,Total,Servizi di informazione e comunicazione,Terziario,13,0.5114083398898506,0.0
2018,Total,,Total,Trasporto e magazzinaggio,Terziario,176,6.923682140047208,0.0
2018,Total,,Total,"Agricoltura, silvicoltura e pesca",Primario,11,0.0,0.0
2018,Total,,Total,Altre attivita' di servizi,Terziario,19,0.0,0.0
2018,Total,,Total,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,26,0.0,0.0
2018,Total,,Total,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,7,0.0,0.0
2018,Total,,Total,Attivita' dei servizi di alloggio e di ristorazione,Terziario,70,0.0,0.0
2018,Total,,Total,Attivita' finanziarie e assicurative,Terziario,9,0.0,0.0
2018,Total,,Total,Attivita' immobiliari,Terziario,4,0.0,0.0
2018,Total,,Total,Attivita' manifatturiere,Secondario,203,0.0,0.0
2018,Total,,Total,"Attivita' professionali, scientifiche e tecniche",Terziario,17,0.0,0.0
2018,Total,,Total,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,114,0.0,0.0
2018,Total,,Total,Costruzioni,Secondario,186,0.0,0.0
2018,Total,,Total,Estrazione di minerali da cave e miniere,Primario,3,0.0,0.0
2018,Total,,Total,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,38,0.0,0.0
2018,Total,,Total,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,3,0.0,0.0
2018,Total,,Total,Istruzione,Terziario,3,0.0,0.0
2018,Total,,Total,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,73,0.0,0.0
2018,Total,,Total,Non determinato,Terziario,256,0.0,0.0
2018,Total,,Total,Sanita' e assistenza sociale,Terziario,40,0.0,0.0
2018,Total,,Total,Servizi di informazione e comunicazione,Terziario,13,0.0,0.0
2018,Total,,Total,Trasporto e magazzinaggio,Terziario,176,0.0,0.0
2018,Trentino Alto Adige,496171,NordEst,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,1,0.03933910306845004,0.0002015434195065814
2018,Trentino Alto Adige,496171,NordEst,Attivita' dei servizi di alloggio e di ristorazione,Terziario,2,0.07867820613690008,0.0004030868390131628
2018,Trentino Alto Adige,496171,NordEst,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,3,0.11801730920535011,0.0006046302585197442
2018,Trentino Alto Adige,496171,NordEst,Costruzioni,Secondario,2,0.07867820613690008,0.0004030868390131628
2018,Trentino Alto Adige,496171,NordEst,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,1,0.03933910306845004,0.0002015434195065814
2018,Trentino Alto Adige,496171,NordEst,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,1,0.03933910306845004,0.0002015434195065814
2018,Trentino Alto Adige,496171,NordEst,Non determinato,Terziario,3,0.11801730920535011,0.0006046302585197442
2018,Trentino Alto Adige,496171,NordEst,Trasporto e magazzinaggio,Terziario,3,0.11801730920535011,0.0006046302585197442
2018,Umbria,349450,Centro,"Agricoltura, silvicoltura e pesca",Primario,1,0.03933910306845004,0.00028616397195593076
2018,Umbria,349450,Centro,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,1,0.03933910306845004,0.00028616397195593076
2018,Umbria,349450,Centro,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,1,0.03933910306845004,0.00028616397195593076
