Year,DescrRegione,Occupati,MacroRegione,Settore,Percentage,PercentageOccupati,SummarisedCount
2019,Liguria,601748,NordOvest,Primario,0.001299826689774696,4.4869280828519e-05,Very low (1-1000)
2019,Liguria,601748,NordOvest,Secondario,0.2070094357789332,0.007145848428245711,Low (1001-10000)
2019,Liguria,601748,NordOvest,Terziario,0.7916907375312922,0.027328715675000167,Moderate (10001-50000)
2019,Lombardia,4451020,NordOvest,Primario,0.001656607700312174,4.4708853251614e-05,Very low (1-1000)
2019,Lombardia,4451020,NordOvest,Secondario,0.27261602497398546,0.007357414704944035,Moderate (10001-50000)
2019,Lombardia,4451020,NordOvest,Terziario,0.7257273673257025,0.019586072405875503,High (50001-100000)
2019,Marche,632493,Centro,Primario,0.003978432706904675,0.00012015943259451,Very low (1-1000)
2019,Marche,632493,Centro,Secondario,0.3002146259749778,0.009067294025388424,Low (1001-10000)
2019,Marche,632493,Centro,Terziario,0.6958069413181175,0.02101525234271368,Moderate (10001-50000)
2019,Molise,108495,Sud,Primario,0.004010025062656641,7.3736116871745e-05,Very low (1-1000)
2019,Molise,108495,Sud,Secondario,0.17894736842105263,0.003290474215401631,Very low (1-1000)
2019,Molise,108495,Sud,Terziario,0.8170426065162907,0.015023733812618094,Low (1001-10000)
2019,Piemonte,1812535,NordOvest,Primario,0.001527835914608623,4.0275084343198e-05,Very low (1-1000)
2019,Piemonte,1812535,NordOvest,Secondario,0.23922143156132272,0.006306085123873471,Moderate (10001-50000)
2019,Piemonte,1812535,NordOvest,Terziario,0.7592507325240686,0.020014510064633236,Moderate (10001-50000)
2019,Puglia,1216063,Sud,Primario,0.0025174283501161895,6.4141413726098e-05,Very low (1-1000)
2019,Puglia,1216063,Sud,Secondario,0.18409501678285564,0.004690546460175172,Low (1001-10000)
2019,Puglia,1216063,Sud,Terziario,0.8133875548670282,0.020724255240065687,Moderate (10001-50000)
2019,Sardegna,582033,0,0,0.0,0.0,No injuries
2019,Sicilia,1341533,Sud,Primario,0.001718336077897902,3.5779962177598004e-05,Very low (1-1000)
2019,Sicilia,1341533,Sud,Secondario,0.15722775112765805,0.003273866539250246,Low (1001-10000)
2019,Sicilia,1341533,Sud,Terziario,0.8410539127944441,0.017512800654176975,Moderate (10001-50000)
2019,Toscana,1584130,Centro,Primario,0.004239426668012516,0.000132564877882497,Very low (1-1000)
2019,Toscana,1584130,Centro,Secondario,0.2425557686484304,0.00758460479884858,Moderate (10001-50000)
2019,Toscana,1584130,Centro,Terziario,0.7532048046835571,0.02355235997045697,Moderate (10001-50000)
2019,Total,23109405,Total,Primario,0.002587352867081678,7.0663870402548e-05,Low (1001-10000)
2019,Total,23109405,Total,Secondario,0.24750177058593323,0.006759585545365621,Very High (100001-200000)
2019,Total,23109405,Total,Terziario,0.7499108765469851,0.02048101195162749,Extremely High (200001+)
2019,Trentino Alto Adige,500166,NordEst,Primario,0.005156748792665957,0.000251916363767229,Very low (1-1000)
2019,Trentino Alto Adige,500166,NordEst,Secondario,0.23978881885896702,0.011714110915176159,Low (1001-10000)
2019,Trentino Alto Adige,500166,NordEst,Terziario,0.755054432348367,0.03688575392969534,Moderate (10001-50000)
2019,Umbria,358279,Centro,Primario,0.006312417561710948,0.000187005099377859,Very low (1-1000)
2019,Umbria,358279,Centro,Secondario,0.2520256265309968,0.007466248370683183,Low (1001-10000)
2019,Umbria,358279,Centro,Terziario,0.7416619559072921,0.021971703616455333,Low (1001-10000)
2019,Valle D'Aosta,55199,NordOvest,Secondario,0.18106427090532132,0.004746462798239099,Very low (1-1000)
2019,Valle D'Aosta,55199,NordOvest,Terziario,0.8189357290946786,0.02146778021340966,Low (1001-10000)
2019,Veneto,2153657,NordEst,Primario,0.002906113170504888,0.00010447346072285399,Very low (1-1000)
2019,Veneto,2153657,NordEst,Secondario,0.31884582100926084,0.01146236378401946,Moderate (10001-50000)
2019,Veneto,2153657,NordEst,Terziario,0.6782480658202342,0.02438271275323787,High (50001-100000)
2020,Abruzzo,475361,Sud,Primario,0.0027805184321463812,6.5213595562109e-05,Very low (1-1000)
2020,Abruzzo,475361,Sud,Secondario,0.23383263072921337,0.005484253020336123,Low (1001-10000)
2020,Abruzzo,475361,Sud,Terziario,0.7633868508386402,0.017904287478358552,Low (1001-10000)
2020,Basilicata,183695,Sud,Primario,0.006590621039290241,0.000141538964043659,Very low (1-1000)
2020,Basilicata,183695,Sud,Secondario,0.19163498098859322,0.004115517569884863,Very low (1-1000)
2020,Basilicata,183695,Sud,Terziario,0.8017743979721166,0.017218759356542098,Low (1001-10000)
2020,Calabria,513834,Sud,Primario,0.004666483667307164,6.6169229751242e-05,Very low (1-1000)
2020,Calabria,513834,Sud,Secondario,0.1579741970903102,0.0022400230424611837,Low (1001-10000)
2020,Calabria,513834,Sud,Terziario,0.8373593192423826,0.011873484432715624,Low (1001-10000)
2020,Campania,1569819,Sud,Primario,0.001250781738586616,1.7836451208705998e-05,Very low (1-1000)
2020,Campania,1569819,Sud,Secondario,0.16662199589028856,0.002376070107445508,Low (1001-10000)
2020,Campania,1569819,Sud,Terziario,0.8321272223711247,0.011866336182706414,Moderate (10001-50000)
2020,Emilia Romagna,1966238,NordEst,Primario,0.002893165605366539,0.00010375142785359601,Very low (1-1000)
2020,Emilia Romagna,1966238,NordEst,Secondario,0.2555629618073776,0.00916470946040103,Moderate (10001-50000)
2020,Emilia Romagna,1966238,NordEst,Terziario,0.741543872587256,0.026592406412651978,High (50001-100000)
2020,Friuli Venezia Giulia,506216,NordEst,Primario,0.002737981534543139,8.4943976484346e-05,Very low (1-1000)
2020,Friuli Venezia Giulia,506216,NordEst,Secondario,0.2655842088506845,0.00823956571898162,Low (1001-10000)
2020,Friuli Venezia Giulia,506216,NordEst,Terziario,0.7316778096147724,0.022699796134456437,Moderate (10001-50000)
2020,Lazio,2258785,Centro,Primario,0.002399115831468851,3.940171375319e-05,Very low (1-1000)
2020,Lazio,2258785,Centro,Secondario,0.12917486589212065,0.002121494520284135,Low (1001-10000)
2020,Lazio,2258785,Centro,Terziario,0.8684260182764105,0.01426253494688516,Moderate (10001-50000)
2020,Liguria,579517,NordOvest,Primario,0.001089211618257261,3.6237073286891996e-05,Very low (1-1000)
2020,Liguria,579517,NordOvest,Secondario,0.17427385892116182,0.005797931725902778,Low (1001-10000)
2020,Liguria,579517,NordOvest,Terziario,0.8246369294605809,0.027434915628014356,Moderate (10001-50000)
2020,Lombardia,4315137,NordOvest,Primario,0.001329798791882143,3.5456579941726e-05,Very low (1-1000)
2020,Lombardia,4315137,NordOvest,Secondario,0.20721394115857636,0.005524969427390138,Moderate (10001-50000)
2020,Lombardia,4315137,NordOvest,Terziario,0.7914562600495415,0.02110269036649358,High (50001-100000)
2020,Marche,611817,Centro,Primario,0.0036225095247017667,9.4799588765921e-05,Very low (1-1000)
2020,Marche,611817,Centro,Secondario,0.2594466304415714,0.006789611926442058,Low (1001-10000)
2020,Marche,611817,Centro,Terziario,0.7369308600337267,0.01928517841119158,Moderate (10001-50000)
2020,Molise,103979,Sud,Primario,0.0032467532467532465,4.8086632877792e-05,Very low (1-1000)
2020,Molise,103979,Sud,Secondario,0.19480519480519484,0.002885197972667558,Very low (1-1000)
2020,Molise,103979,Sud,Terziario,0.801948051948052,0.01187739832081478,Low (1001-10000)
2020,Piemonte,1748168,NordOvest,Primario,0.0017568794662244848,5.091043881366e-05,Very low (1-1000)
2020,Piemonte,1748168,NordOvest,Secondario,0.1624620000789609,0.004707785521757634,Low (1001-10000)
2020,Piemonte,1748168,NordOvest,Terziario,0.8357811204548146,0.024219068190242585,Moderate (10001-50000)
2020,Puglia,1188112,Sud,Primario,0.0026942430365703867,5.7233661472992e-05,Very low (1-1000)
2020,Puglia,1188112,Sud,Secondario,0.1711240540433456,0.00363517917502727,Low (1001-10000)
2020,Puglia,1188112,Sud,Terziario,0.826181702920084,0.017550533956394686,Moderate (10001-50000)
2020,Sardegna,551740,0,0,0.0,0.0,No injuries
2020,Sicilia,1305304,Sud,Primario,0.002206726101156324,3.8305253029178996e-05,Very low (1-1000)
2020,Sicilia,1305304,Sud,Secondario,0.15685409127019154,0.0027227373853140717,Low (1001-10000)
2020,Sicilia,1305304,Sud,Terziario,0.840939182628652,0.01459736582435969,Moderate (10001-50000)
2020,Toscana,1544467,Centro,Primario,0.006431645630833213,0.00017222770055948098,Very low (1-1000)
2020,Toscana,1544467,Centro,Secondario,0.2107210213259829,0.005642723347277734,Low (1001-10000)
2020,Toscana,1544467,Centro,Terziario,0.782847333043184,0.020963219026369617,Moderate (10001-50000)
2020,Total,22385258,Total,Primario,0.002666966165540871,6.6829696579775e-05,Low (1001-10000)
2020,Total,22385258,Total,Secondario,0.2097330003191089,0.005255557027754605,Very High (100001-200000)
2020,Total,22385258,Total,Terziario,0.7876000335153502,0.019735935140886025,Extremely High (200001+)
2020,Trentino Alto Adige,486175,NordEst,Primario,0.004821428571428571,0.000222142232735126,Very low (1-1000)
2020,Trentino Alto Adige,486175,NordEst,Secondario,0.20986607142857142,0.009669357741553967,Low (1001-10000)
2020,Trentino Alto Adige,486175,NordEst,Terziario,0.7853125,0.03618244459299635,Moderate (10001-50000)
2020,Umbria,348364,Centro,Primario,0.004983802641415399,0.000114822427116464,Very low (1-1000)
2020,Umbria,348364,Centro,Secondario,0.24433092449539,0.005629169489384666,Low (1001-10000)
2020,Umbria,348364,Centro,Terziario,0.7506852728631946,0.01729512808441745,Low (1001-10000)
2020,Valle D'Aosta,53103,NordOvest,Primario,0.000587889476778365,1.8831327796921998e-05,Very low (1-1000)
2020,Valle D'Aosta,53103,NordOvest,Secondario,0.12639623750734866,0.004048735476338437,Very low (1-1000)
2020,Valle D'Aosta,53103,NordOvest,Terziario,0.873015873015873,0.027964521778430604,Low (1001-10000)
2020,Veneto,2075427,NordEst,Primario,0.0026402831776243256,8.7692797674888e-05,Very low (1-1000)
2020,Veneto,2075427,NordEst,Secondario,0.27664945163349386,0.00918847061351712,Moderate (10001-50000)
2020,Veneto,2075427,NordEst,Terziario,0.7207102651888817,0.023937242793892533,Moderate (10001-50000)
2021,Abruzzo,484387,Sud,Primario,0.003714902807775377,8.8771994293818e-05,Very low (1-1000)
2021,Abruzzo,484387,Sud,Secondario,0.2630669546436285,0.006286295874992517,Low (1001-10000)
2021,Abruzzo,484387,Sud,Terziario,0.7332181425485961,0.01752111431561954,Low (1001-10000)
2021,Basilicata,189066,Sud,Primario,0.0050420168067226885,0.000111072323950366,Very low (1-1000)
2021,Basilicata,189066,Sud,Secondario,0.21200480192076832,0.004670326764198745,Very low (1-1000)
2021,Basilicata,189066,Sud,Terziario,0.7829531812725091,0.01724794516200692,Low (1001-10000)
2021,Calabria,520963,Sud,Primario,0.0037697914048755972,5.7585663473220996e-05,Very low (1-1000)
2021,Calabria,520963,Sud,Secondario,0.174667001759236,0.002668135740925939,Low (1001-10000)
2021,Calabria,520963,Sud,Terziario,0.8215632068358885,0.012549835592930785,Low (1001-10000)
2021,Campania,1592095,Sud,Primario,0.0013271726307510809,1.6958787007056e-05,Very low (1-1000)
