Year,DescrRegione,AgeGroup,Occupati,MacroRegione,Count,Percentage,PercentageOccupati,SummarisedCount
2019,Puglia,15+,1216063,Sud,75,0.0205761316872428,6.1674436275094e-05,Moderate (51-100)
2019,Puglia,15-64,1188045,Sud,73,0.020027434842249656,6.1445483967358e-05,Moderate (51-100)
2019,Puglia,65+,28018,Sud,10,0.000548696844993141,7.138268256121e-05,Very low (1-10)
2019,Sardegna,15+,582033,0,0,0.0,0.0,No deaths
2019,Sardegna,15-64,562854,0,0,0.0,0.0,No deaths
2019,Sardegna,65+,19179,0,0,0.0,0.0,No deaths
2019,Sicilia,15+,1341533,Sud,88,0.02414266117969822,6.5596597325596e-05,Moderate (51-100)
2019,Sicilia,15-64,1306193,Sud,83,0.02277091906721536,6.354344266123e-05,Moderate (51-100)
2019,Sicilia,65+,35340,Sud,10,0.001371742112482853,0.00014148273910582901,Very low (1-10)
2019,Toscana,15+,1584130,Centro,76,0.020850480109739368,4.7975860566998e-05,Moderate (51-100)
2019,Toscana,15-64,1526896,Centro,65,0.01783264746227709,4.2570024415546e-05,Moderate (51-100)
2019,Toscana,65+,57234,Centro,11,0.0030178326474622767,0.000192193451444945,Low (11-50)
2019,Total,0-14,0,Total,10,0.0008230452674897119,0.0,Very low (1-10)
2019,Total,15+,23109405,Total,0,0.0,0.0,No deaths
2019,Total,15-64,22442714,Total,1124,0.30836762688614533,5.0083069275846e-05,Extremely High (1001+)
2019,Total,65+,666691,Total,89,0.024417009602194787,0.000133495127427848,Moderate (51-100)
2019,Trentino Alto Adige,15+,500166,NordEst,34,0.009327846364883402,6.7977431492744e-05,Low (11-50)
2019,Trentino Alto Adige,15-64,487269,NordEst,31,0.00850480109739369,6.3619889629752e-05,Low (11-50)
2019,Trentino Alto Adige,65+,12897,NordEst,10,0.0008230452674897119,0.000232612235403582,Very low (1-10)
2019,Umbria,15+,358279,Centro,19,0.005212620027434842,5.3031296838497e-05,Low (11-50)
2019,Umbria,15-64,346530,Centro,16,0.0043895747599451305,4.6172048596080994e-05,Low (11-50)
2019,Umbria,65+,11749,Centro,10,0.0008230452674897119,0.0002553408800749,Very low (1-10)
2019,Valle D'Aosta,15+,55199,NordOvest,10,0.00027434842249657,1.8116270222286e-05,Very low (1-10)
2019,Valle D'Aosta,15-64,53656,NordOvest,10,0.00027434842249657,1.8637244669747998e-05,Very low (1-10)
2019,Valle D'Aosta,65+,1543,0,0,0.0,0.0,No deaths
2019,Veneto,0-14,0,NordEst,10,0.00027434842249657,0.0,Very low (1-10)
2019,Veneto,15+,2153657,NordEst,108,0.02962962962962963,5.014726114697e-05,High (101-500)
2019,Veneto,15-64,2094304,NordEst,101,0.02770919067215364,4.8226045502467004e-05,High (101-500)
2019,Veneto,65+,59353,NordEst,10,0.001920438957475994,0.00011793843613633601,Very low (1-10)
2020,Abruzzo,15+,475361,Sud,46,0.009083728278041072,9.676856115667799e-05,Low (11-50)
2020,Abruzzo,15-64,462095,Sud,41,0.008096366508688783,8.872634415001201e-05,Low (11-50)
2020,Abruzzo,65+,13266,Sud,10,0.00098736176935229,0.00037690336197798805,Very low (1-10)
2020,Basilicata,15+,183695,Sud,10,0.0019747235387045812,5.4438063093714995e-05,Very low (1-10)
2020,Basilicata,15-64,177983,Sud,10,0.001777251184834123,5.0566627149782996e-05,Very low (1-10)
2020,Basilicata,65+,5712,Sud,10,0.000197472353870458,0.000175070028011204,Very low (1-10)
2020,Calabria,15+,513834,Sud,49,0.009676145339652447,9.536153699443699e-05,Low (11-50)
2020,Calabria,15-64,496759,Sud,45,0.008886255924170616,9.0587186140563e-05,Low (11-50)
2020,Calabria,65+,17075,Sud,10,0.000789889415481832,0.000234260614934114,Very low (1-10)
2020,Campania,15+,1569819,Sud,186,0.03672985781990521,0.000118484997314977,High (101-500)
2020,Campania,15-64,1521514,Sud,169,0.03337282780410743,0.00011107357539924,High (101-500)
2020,Campania,65+,48305,Sud,17,0.003357030015797788,0.000351930441983231,Low (11-50)
2020,Emilia Romagna,15+,1966238,NordEst,148,0.029225908372827805,7.5270643736922e-05,High (101-500)
2020,Emilia Romagna,15-64,1900744,NordEst,127,0.025078988941548183,6.6815941547099e-05,High (101-500)
2020,Emilia Romagna,65+,65494,NordEst,21,0.004146919431279621,0.000320640058631325,Low (11-50)
2020,Friuli Venezia Giulia,15+,506216,NordEst,28,0.005529225908372828,5.5312356780504e-05,Low (11-50)
2020,Friuli Venezia Giulia,15-64,491290,NordEst,24,0.004739336492890995,4.8850984143784e-05,Low (11-50)
2020,Friuli Venezia Giulia,65+,14926,NordEst,10,0.000789889415481832,0.00026798874447273203,Very low (1-10)
2020,Lazio,15+,2258785,Centro,157,0.03100315955766193,6.950639392416699e-05,High (101-500)
2020,Lazio,15-64,2192411,Centro,150,0.02962085308056872,6.8417828591445e-05,High (101-500)
2020,Lazio,65+,66374,Centro,10,0.001382306477093207,0.000105462982493144,Very low (1-10)
2020,Liguria,15+,579517,NordOvest,60,0.011848341232227489,0.000103534495105406,Moderate (51-100)
2020,Liguria,15-64,559209,NordOvest,49,0.009676145339652447,8.7623768573109e-05,Low (11-50)
2020,Liguria,65+,20308,NordOvest,11,0.002172195892575039,0.000541658459720307,Low (11-50)
2020,Lombardia,15+,4315137,NordOvest,344,0.0679304897314376,7.9719369280743e-05,High (101-500)
2020,Lombardia,15-64,4199979,NordOvest,299,0.059044233807266984,7.1190832144636e-05,High (101-500)
2020,Lombardia,65+,115158,NordOvest,45,0.008886255924170616,0.000390767467305788,Low (11-50)
2020,Marche,15+,611817,Centro,54,0.01066350710900474,8.8261686092409e-05,Moderate (51-100)
2020,Marche,15-64,595349,Centro,46,0.009083728278041072,7.7265603872686e-05,Low (11-50)
2020,Marche,65+,16468,Centro,10,0.001579778830963665,0.000485790624240952,Very low (1-10)
2020,Molise,15+,103979,Sud,17,0.003357030015797788,0.000163494551784494,Low (11-50)
2020,Molise,15-64,100032,Sud,15,0.0029620853080568723,0.000149952015355086,Low (11-50)
2020,Molise,65+,3947,Sud,10,0.000394944707740916,0.0005067139599695971,Very low (1-10)
2020,Piemonte,15+,1748168,NordOvest,145,0.028633491311216428,8.2943973348099e-05,High (101-500)
2020,Piemonte,15-64,1697705,NordOvest,123,0.02428909952606636,7.245074968855001e-05,High (101-500)
2020,Piemonte,65+,50463,NordOvest,22,0.004344391785150079,0.000435962982779462,Low (11-50)
2020,Puglia,15+,1188112,Sud,110,0.021721958925750396,9.2583864147487e-05,High (101-500)
2020,Puglia,15-64,1158779,Sud,91,0.01796998420221169,7.853093644258299e-05,Moderate (51-100)
2020,Puglia,65+,29333,Sud,19,0.003751974723538704,0.000647734633348106,Low (11-50)
2020,Sardegna,15+,551740,0,0,0.0,0.0,No deaths
2020,Sardegna,15-64,535237,0,0,0.0,0.0,No deaths
2020,Sardegna,65+,16503,0,0,0.0,0.0,No deaths
2020,Sicilia,0-14,0,Sud,10,0.000197472353870458,0.0,Very low (1-10)
2020,Sicilia,15+,1305304,Sud,104,0.020537124802527645,7.9674926300693e-05,High (101-500)
2020,Sicilia,15-64,1269872,Sud,95,0.018759873617693525,7.4810689581312e-05,Moderate (51-100)
2020,Sicilia,65+,35432,Sud,10,0.001777251184834123,0.00025400767667645,Very low (1-10)
2020,Toscana,15+,1544467,Centro,81,0.015995260663507108,5.2445277238037e-05,Moderate (51-100)
2020,Toscana,15-64,1485444,Centro,68,0.013428120063191152,4.5777558763575e-05,Moderate (51-100)
2020,Toscana,65+,59023,Centro,13,0.0025671406003159557,0.000220253121664435,Low (11-50)
2020,Total,0-14,0,Total,10,0.000592417061611374,0.0,Very low (1-10)
2020,Total,15+,22385258,Total,0,0.0,0.0,No deaths
2020,Total,15-64,21721015,Total,1473,0.29087677725118477,6.7814510509752e-05,Extremely High (1001+)
2020,Total,65+,664243,Total,213,0.04206161137440758,0.000320665780444807,High (101-500)
2020,Trentino Alto Adige,15+,486175,NordEst,26,0.005134281200631911,5.3478685658456e-05,Low (11-50)
2020,Trentino Alto Adige,15-64,473481,NordEst,18,0.003554502369668246,3.8016308996559e-05,Low (11-50)
2020,Trentino Alto Adige,65+,12694,NordEst,10,0.001579778830963665,0.000630219001102883,Very low (1-10)
2020,Umbria,15+,348364,Centro,13,0.0025671406003159557,3.731728881285e-05,Low (11-50)
2020,Umbria,15-64,335812,Centro,11,0.002172195892575039,3.2756423236811005e-05,Low (11-50)
2020,Umbria,65+,12552,Centro,10,0.000394944707740916,0.000159337157425111,Very low (1-10)
2020,Valle D'Aosta,15+,53103,NordOvest,10,0.000394944707740916,3.7662655593845e-05,Very low (1-10)
2020,Valle D'Aosta,15-64,51853,NordOvest,10,0.000197472353870458,1.9285287254353e-05,Very low (1-10)
2020,Valle D'Aosta,65+,1250,NordOvest,10,0.000197472353870458,0.0008,Very low (1-10)
2020,Veneto,0-14,0,NordEst,10,0.000394944707740916,0.0,Very low (1-10)
2020,Veneto,15+,2075427,NordEst,106,0.02093206951026856,5.1073827217242e-05,High (101-500)
2020,Veneto,15-64,2015467,NordEst,92,0.018167456556082148,4.5646989010487e-05,Moderate (51-100)
2020,Veneto,65+,59960,NordEst,14,0.002764612954186414,0.000233488992661774,Low (11-50)
2021,Abruzzo,15+,484387,Sud,46,0.01094196003805899,9.496538924454999e-05,Low (11-50)
2021,Abruzzo,15-64,466939,Sud,39,0.009276879162702189,8.3522687117589e-05,Low (11-50)
2021,Abruzzo,65+,17448,Sud,10,0.001665080875356803,0.000401192113709307,Very low (1-10)
2021,Basilicata,15+,189066,Sud,25,0.005946717411988583,0.000132228957083769,Low (11-50)
2021,Basilicata,15-64,183955,Sud,24,0.00570884871550904,0.000130466690223152,Low (11-50)
2021,Basilicata,65+,5111,Sud,10,0.000237868696479543,0.000195656427313637,Very low (1-10)
2021,Calabria,15+,520963,Sud,27,0.006422454804947669,5.1827097125899e-05,Low (11-50)
2021,Calabria,15-64,503871,Sud,25,0.005946717411988583,4.9615873904233e-05,Low (11-50)
2021,Calabria,65+,17092,Sud,10,0.000475737392959086,0.0001170138076293,Very low (1-10)
2021,Campania,0-14,0,Sud,10,0.000237868696479543,0.0,Very low (1-10)
2021,Campania,15+,1592095,Sud,147,0.03496669838249286,9.233117370508601e-05,High (101-500)
2021,Campania,15-64,1545081,Sud,133,0.03163653663177926,8.6079629482208e-05,High (101-500)
2021,Campania,65+,47014,Sud,14,0.003330161750713606,0.000297783638916067,Low (11-50)
2021,Emilia Romagna,0-14,0,NordEst,10,0.000237868696479543,0.0,Very low (1-10)
2021,Emilia Romagna,15+,1978443,NordEst,124,0.029495718363463368,6.2675548398412e-05,High (101-500)
2021,Emilia Romagna,15-64,1904083,NordEst,112,0.02664129400570885,5.8820965262543e-05,High (101-500)
2021,Emilia Romagna,65+,74360,NordEst,12,0.00285442435775452,0.000161377084454007,Low (11-50)
2021,Friuli Venezia Giulia,15+,510300,NordEst,38,0.009039010466222646,7.4466000391926e-05,Low (11-50)
2021,Friuli Venezia Giulia,15-64,495446,NordEst,33,0.00784966698382493,6.6606653399159e-05,Low (11-50)
2021,Friuli Venezia Giulia,65+,14854,NordEst,10,0.001189343482397716,0.00033660966742964804,Very low (1-10)
2021,Lazio,15+,2265747,Centro,132,0.03139866793529972,5.8258931822484994e-05,High (101-500)
2021,Lazio,15-64,2190967,Centro,124,0.029495718363463368,5.6596014453891e-05,High (101-500)
2021,Lazio,65+,74780,Centro,10,0.001902949571836346,0.000106980476063118,Very low (1-10)
2021,Liguria,15+,594600,NordOvest,42,0.00999048525214082,7.063572149344e-05,Low (11-50)
2021,Liguria,15-64,574046,NordOvest,36,0.008563273073263558,6.2712744274849e-05,Low (11-50)
2021,Liguria,65+,20554,NordOvest,10,0.00142721217887726,0.00029191398267977,Very low (1-10)
2021,Lombardia,15+,4332517,NordOvest,201,0.0478116079923882,4.6393355178987e-05,High (101-500)
2021,Lombardia,15-64,4212459,NordOvest,186,0.044243577545195055,4.4154732425882e-05,High (101-500)
2021,Lombardia,65+,120058,NordOvest,15,0.003568030447193149,0.000124939612520615,Low (11-50)
2021,Marche,15+,616562,Centro,36,0.008563273073263558,5.8388288606822994e-05,Low (11-50)
2021,Marche,15-64,597084,Centro,32,0.007611798287345386,5.3593799197432e-05,Low (11-50)
2021,Marche,65+,19478,Centro,10,0.000951474785918173,0.00020535989321285498,Very low (1-10)
2021,Molise,15+,100276,Sud,19,0.004519505233111323,0.000189477043360325,Low (11-50)
2021,Molise,15-64,97006,Sud,19,0.004519505233111323,0.00019586417335010198,Low (11-50)
2021,Molise,65+,3270,0,0,0.0,0.0,No deaths
2021,Piemonte,15+,1767300,NordOvest,119,0.028306374881065646,6.7334351836134e-05,High (101-500)
2021,Piemonte,15-64,1708232,NordOvest,101,0.024024738344433878,5.9125458368652e-05,High (101-500)
2021,Piemonte,65+,59068,NordOvest,18,0.004281636536631779,0.000304733527459876,Low (11-50)
2021,Puglia,15+,1206761,Sud,103,0.02450047573739296,8.535244344157601e-05,High (101-500)
2021,Puglia,15-64,1175676,Sud,94,0.02235965746907707,7.9954000932229e-05,Moderate (51-100)
2021,Puglia,65+,31085,Sud,10,0.002140818268315889,0.000289528711597233,Very low (1-10)
2021,Sardegna,15+,563197,0,0,0.0,0.0,No deaths
2021,Sardegna,15-64,545409,0,0,0.0,0.0,No deaths
2021,Sardegna,65+,17788,0,0,0.0,0.0,No deaths
2021,Sicilia,15+,1310864,Sud,83,0.01974310180780209,6.3317018393975e-05,Moderate (51-100)
2021,Sicilia,15-64,1273693,Sud,74,0.017602283539486202,5.8098772624171996e-05,Moderate (51-100)
2021,Sicilia,65+,37171,Sud,10,0.002140818268315889,0.000242124236636087,Very low (1-10)
2021,Toscana,15+,1546282,Centro,76,0.018078020932445288,4.9150155017002e-05,Moderate (51-100)
2021,Toscana,15-64,1487881,Centro,65,0.015461465271170314,4.3686289427716e-05,Moderate (51-100)
2021,Toscana,65+,58401,Centro,11,0.0026165556612749758,0.00018835293916200002,Low (11-50)
2021,Total,0-14,0,Total,10,0.000475737392959086,0.0,Very low (1-10)
2021,Total,15+,22553956,Total,0,0.0,0.0,No deaths
2021,Total,15-64,21849199,Total,1258,0.29923882017126546,5.7576481407853e-05,Extremely High (1001+)
2021,Total,65+,704757,Total,142,0.03377735490009515,0.000201487888733279,High (101-500)
2021,Trentino Alto Adige,15+,487081,NordEst,30,0.007136060894386299,6.1591398555887e-05,Low (11-50)
2021,Trentino Alto Adige,15-64,472773,NordEst,27,0.006422454804947669,5.7109860334663006e-05,Low (11-50)
