Year,DescrRegione,Genere,Occupati,MacroRegione,Count,Percentage,PercentageOccupati,SummarisedCount
2019,Liguria,F,267819,NordOvest,7893,0.006252901463525929,0.029471396726893907,Low (1001-10000)
2019,Liguria,M,333929,NordOvest,12879,0.010202852901146642,0.03856807884310737,Moderate (10001-50000)
2019,Lombardia,F,1937066,NordOvest,42709,0.03383443159834396,0.02204829365648873,Moderate (10001-50000)
2019,Lombardia,M,2513954,NordOvest,77416,0.06132961100979645,0.030794517322114884,High (50001-100000)
2019,Marche,F,278484,Centro,6606,0.005233329161035385,0.023721290989787563,Low (1001-10000)
2019,Marche,M,354009,Centro,12497,0.009900229265131578,0.035301362394741374,Moderate (10001-50000)
2019,Molise,F,42323,Sud,773,0.000612377148271321,0.018264300734825035,Very low (1-1000)
2019,Molise,M,66172,Sud,1222,0.0009680787518597091,0.018467025327933265,Low (1001-10000)
2019,Piemonte,F,803717,NordOvest,18992,0.015045623285858921,0.02363020814540441,Moderate (10001-50000)
2019,Piemonte,M,1008818,NordOvest,28788,0.02280609747016147,0.02853636632177459,Moderate (10001-50000)
2019,Puglia,F,434381,Sud,10816,0.008568526824971045,0.02489979994520939,Moderate (10001-50000)
2019,Puglia,M,781682,Sud,20168,0.015977260448041423,0.025800773204448867,Moderate (10001-50000)
2019,Sardegna,F,252199,0,0,0.0,0.0,No injuries
2019,Sardegna,M,329834,0,0,0.0,0.0,No injuries
2019,Sicilia,F,490486,Sud,9817,0.007777110562198664,0.02001484242159817,Low (1001-10000)
2019,Sicilia,M,851047,Sud,18117,0.014352440873520748,0.02128789596814277,Moderate (10001-50000)
2019,Toscana,F,717197,Centro,18658,0.014781025656463548,0.026015167380789378,Moderate (10001-50000)
2019,Toscana,M,866933,Centro,30877,0.024461020966589402,0.03561636251013631,Moderate (10001-50000)
2019,Total,F,9773767,Total,225904,0.1789630624878198,0.023113299099518134,Extremely High (200001+)
2019,Total,M,13335638,Total,405243,0.32103693751218015,0.03038797243896392,Extremely High (200001+)
2019,Trentino Alto Adige,F,226964,NordEst,7420,0.0058781868566276955,0.0326924093688867,Low (1001-10000)
2019,Trentino Alto Adige,M,273202,NordEst,17014,0.01347863492973903,0.06227626444901575,Moderate (10001-50000)
2019,Umbria,F,160589,Centro,3887,0.0030793143277239687,0.02420464664453979,Low (1001-10000)
2019,Umbria,M,197690,Centro,6727,0.005329186386055863,0.034028023673428096,Low (1001-10000)
2019,Valle D'Aosta,F,25777,NordOvest,591,0.000468195206504982,0.022927415913411176,Very low (1-1000)
2019,Valle D'Aosta,M,29422,NordOvest,856,0.0006781304513845419,0.029093875331384682,Very low (1-1000)
2019,Veneto,F,927451,NordEst,25098,0.019882848211272487,0.027061267926823084,Moderate (10001-50000)
2019,Veneto,M,1226206,NordEst,52325,0.041452308257822666,0.04267227529468947,High (50001-100000)
2020,Abruzzo,F,188399,Sud,4582,0.004084237623832979,0.02432072357071959,Low (1001-10000)
2020,Abruzzo,M,286962,Sud,6567,0.005853598532455516,0.022884563112886024,Low (1001-10000)
2020,Basilicata,F,67395,Sud,1542,0.001374485904834232,0.02288003561095037,Low (1001-10000)
2020,Basilicata,M,116300,Sud,2403,0.002141951769984864,0.02066208082545142,Low (1001-10000)
2020,Calabria,F,182110,Sud,2485,0.002215043757142067,0.013645598813903682,Low (1001-10000)
2020,Calabria,M,331724,Sud,4801,0.004279446711484534,0.014472875040696482,Low (1001-10000)
2020,Campania,F,551025,Sud,7660,0.0068278612393192105,0.013901365636767842,Low (1001-10000)
2020,Campania,M,1018794,Sud,14726,0.01312625125459722,0.014454345039330817,Moderate (10001-50000)
2020,Emilia Romagna,F,878847,NordEst,28486,0.025391443245854704,0.032412922840949564,Moderate (10001-50000)
2020,Emilia Romagna,M,1087391,NordEst,42025,0.03745964341806656,0.03864755180059426,Moderate (10001-50000)
2020,Friuli Venezia Giulia,F,221290,NordEst,6889,0.0061406182869020946,0.03113109494328709,Low (1001-10000)
2020,Friuli Venezia Giulia,M,284926,NordEst,8816,0.007858279985096367,0.030941367232193623,Low (1001-10000)
2020,Lazio,F,983371,Centro,16110,0.01435990137929928,0.016382423317344116,Moderate (10001-50000)
2020,Lazio,M,1275414,Centro,20987,0.018707091883758784,0.016455049105623742,Moderate (10001-50000)
2020,Liguria,F,257227,NordOvest,8739,0.007789644826424358,0.03397388299051033,Low (1001-10000)
2020,Liguria,M,322290,NordOvest,10541,0.009395885812488748,0.03270656861832512,Moderate (10001-50000)
2020,Lombardia,F,1883528,NordOvest,53939,0.04807937433258993,0.02863721696730816,High (50001-100000)
