Year,DescrRegione,Occupati,MacroRegione,Settore,Count,Percentage,PercentageOccupati,SummarisedCount
2019,Puglia,1216063,Sud,Secondario,23,0.30666666666666664,1.8913493791028e-05,Low (11-50)
2019,Puglia,1216063,Sud,Terziario,50,0.6666666666666665,4.1116290850062e-05,Low (11-50)
2019,Sardegna,582033,0,0,0,0.0,0.0,No deaths
2019,Sicilia,1341533,Sud,Primario,2,0.022727272727272728,1.490831757399e-06,Very low (1-10)
2019,Sicilia,1341533,Sud,Secondario,24,0.2727272727272727,1.7889981088799002e-05,Low (11-50)
2019,Sicilia,1341533,Sud,Terziario,62,0.7045454545454546,4.6215784479397e-05,Moderate (51-100)
2019,Toscana,1584130,Centro,Secondario,27,0.35526315789473684,1.7044055727749e-05,Low (11-50)
2019,Toscana,1584130,Centro,Terziario,49,0.6447368421052632,3.0931804839249004e-05,Low (11-50)
2019,Total,23109405,Total,Primario,16,0.013157894736842105,6.923588036991864e-07,Low (11-50)
2019,Total,23109405,Total,Secondario,469,0.38569078947368424,2.0294767433432e-05,High (101-500)
2019,Total,23109405,Total,Terziario,731,0.6011513157894737,3.1632142844006e-05,Very High (501-1000)
2019,Trentino Alto Adige,500166,NordEst,Primario,1,0.02941176470588235,1.999336220374e-06,Very low (1-10)
2019,Trentino Alto Adige,500166,NordEst,Secondario,7,0.20588235294117646,1.3995353542623e-05,Very low (1-10)
2019,Trentino Alto Adige,500166,NordEst,Terziario,26,0.7647058823529411,5.1982741729745005e-05,Low (11-50)
2019,Umbria,358279,Centro,Secondario,7,0.3684210526315789,1.9537846203656e-05,Very low (1-10)
2019,Umbria,358279,Centro,Terziario,12,0.631578947368421,3.3493450634839997e-05,Low (11-50)
2019,Valle D'Aosta,55199,NordOvest,Terziario,1,1.0,1.8116270222286e-05,Very low (1-10)
2019,Veneto,2153657,NordEst,Primario,2,0.01834862385321101,9.286529842031484e-07,Very low (1-10)
2019,Veneto,2153657,NordEst,Secondario,49,0.4495412844036697,2.2751998112977e-05,Low (11-50)
2019,Veneto,2153657,NordEst,Terziario,58,0.5321100917431193,2.6930936541891e-05,Moderate (51-100)
2020,Abruzzo,475361,Sud,Primario,1,0.021739130434782608,2.1036643729710003e-06,Very low (1-10)
2020,Abruzzo,475361,Sud,Secondario,14,0.30434782608695654,2.9451301221597002e-05,Low (11-50)
2020,Abruzzo,475361,Sud,Terziario,31,0.673913043478261,6.5213595562109e-05,Low (11-50)
2020,Basilicata,183695,Sud,Secondario,3,0.3,1.6331418928114e-05,Very low (1-10)
2020,Basilicata,183695,Sud,Terziario,7,0.7,3.81066441656e-05,Very low (1-10)
2020,Calabria,513834,Sud,Secondario,15,0.30612244897959184,2.9192307243194998e-05,Low (11-50)
2020,Calabria,513834,Sud,Terziario,34,0.6938775510204082,6.6169229751242e-05,Low (11-50)
2020,Campania,1569819,Sud,Primario,1,0.005376344086021506,6.37016114596651e-07,Very low (1-10)
2020,Campania,1569819,Sud,Secondario,47,0.2526881720430108,2.9939757386041998e-05,Low (11-50)
2020,Campania,1569819,Sud,Terziario,138,0.7419354838709676,8.7908223814337e-05,High (101-500)
2020,Emilia Romagna,1966238,NordEst,Primario,2,0.01351351351351351,1.017170861309e-06,Very low (1-10)
2020,Emilia Romagna,1966238,NordEst,Secondario,59,0.39864864864864863,3.0006540408638e-05,Moderate (51-100)
2020,Emilia Romagna,1966238,NordEst,Terziario,87,0.5878378378378378,4.4246932466974996e-05,Moderate (51-100)
2020,Friuli Venezia Giulia,506216,NordEst,Primario,1,0.03571428571428571,1.975441313589e-06,Very low (1-10)
2020,Friuli Venezia Giulia,506216,NordEst,Secondario,13,0.4642857142857143,2.5680737076662002e-05,Low (11-50)
2020,Friuli Venezia Giulia,506216,NordEst,Terziario,14,0.5,2.7656178390252e-05,Low (11-50)
2020,Lazio,2258785,Centro,Secondario,35,0.2229299363057325,1.5495055970355002e-05,Low (11-50)
2020,Lazio,2258785,Centro,Terziario,122,0.7770700636942675,5.4011337953811e-05,High (101-500)
2020,Liguria,579517,NordOvest,Secondario,20,0.33333333333333326,3.4511498368467997e-05,Low (11-50)
2020,Liguria,579517,NordOvest,Terziario,40,0.6666666666666665,6.902299673693701e-05,Low (11-50)
2020,Lombardia,4315137,NordOvest,Primario,1,0.002906976744186046,2.317423525603011e-07,Very low (1-10)
2020,Lombardia,4315137,NordOvest,Secondario,93,0.2703488372093023,2.1552038788108e-05,Moderate (51-100)
2020,Lombardia,4315137,NordOvest,Terziario,250,0.7267441860465115,5.7935588140075e-05,High (101-500)
2020,Marche,611817,Centro,Primario,1,0.01851851851851852,1.6344756683770002e-06,Very low (1-10)
2020,Marche,611817,Centro,Secondario,24,0.4444444444444444,3.9227416041071e-05,Low (11-50)
2020,Marche,611817,Centro,Terziario,29,0.5370370370370371,4.7399794382960004e-05,Low (11-50)
2020,Molise,103979,Sud,Secondario,5,0.29411764705882354,4.8086632877792e-05,Very low (1-10)
2020,Molise,103979,Sud,Terziario,12,0.7058823529411765,0.000115407918906702,Low (11-50)
2020,Piemonte,1748168,NordOvest,Primario,2,0.013793103448275864,1.144054804801e-06,Very low (1-10)
2020,Piemonte,1748168,NordOvest,Secondario,36,0.2482758620689655,2.0592986486424e-05,Low (11-50)
2020,Piemonte,1748168,NordOvest,Terziario,107,0.7379310344827588,6.120693205687299e-05,High (101-500)
2020,Puglia,1188112,Sud,Secondario,29,0.2636363636363636,2.4408473275245997e-05,Low (11-50)
2020,Puglia,1188112,Sud,Terziario,81,0.7363636363636362,6.8175390872241e-05,Moderate (51-100)
2020,Sardegna,551740,0,0,0,0.0,0.0,No deaths
2020,Sicilia,1305304,Sud,Secondario,25,0.23809523809523805,1.9152626514589e-05,Low (11-50)
2020,Sicilia,1305304,Sud,Terziario,80,0.7619047619047619,6.1288404846687e-05,Moderate (51-100)
2020,Toscana,1544467,Centro,Primario,2,0.02469135802469136,1.294945116988e-06,Very low (1-10)
2020,Toscana,1544467,Centro,Secondario,22,0.2716049382716049,1.4244396286874e-05,Low (11-50)
2020,Toscana,1544467,Centro,Terziario,57,0.7037037037037037,3.6905935834174e-05,Moderate (51-100)
2020,Total,22385258,Total,Primario,13,0.0076968620485494375,5.807393419365549e-07,Low (11-50)
2020,Total,22385258,Total,Secondario,496,0.29366489046773236,2.2157439507733e-05,High (101-500)
2020,Total,22385258,Total,Terziario,1180,0.6986382474837182,5.271326334501e-05,Extremely High (1001+)
2020,Trentino Alto Adige,486175,NordEst,Primario,1,0.038461538461538464,2.056872525325e-06,Very low (1-10)
2020,Trentino Alto Adige,486175,NordEst,Secondario,5,0.19230769230769237,1.0284362626626e-05,Very low (1-10)
2020,Trentino Alto Adige,486175,NordEst,Terziario,20,0.7692307692307694,4.1137450506504e-05,Low (11-50)
2020,Umbria,348364,Centro,Primario,1,0.07692307692307693,2.8705606779109997e-06,Very low (1-10)
2020,Umbria,348364,Centro,Secondario,6,0.4615384615384615,1.7223364067469e-05,Very low (1-10)
2020,Umbria,348364,Centro,Terziario,6,0.4615384615384615,1.7223364067469e-05,Very low (1-10)
2020,Valle D'Aosta,53103,NordOvest,Secondario,1,0.5,1.8831327796921998e-05,Very low (1-10)
2020,Valle D'Aosta,53103,NordOvest,Terziario,1,0.5,1.8831327796921998e-05,Very low (1-10)
2020,Veneto,2075427,NordEst,Secondario,44,0.4074074074074074,2.1200456580742e-05,Low (11-50)
2020,Veneto,2075427,NordEst,Terziario,64,0.5925925925925926,3.0837027753806e-05,Moderate (51-100)
2021,Abruzzo,484387,Sud,Secondario,16,0.34782608695652173,3.3031439737234e-05,Low (11-50)
2021,Abruzzo,484387,Sud,Terziario,30,0.6521739130434783,6.1933949507315e-05,Low (11-50)
2021,Basilicata,189066,Sud,Secondario,8,0.32,4.2313266266806e-05,Very low (1-10)
2021,Basilicata,189066,Sud,Terziario,17,0.68,8.991569081696301e-05,Low (11-50)
2021,Calabria,520963,Sud,Secondario,10,0.3703703703703704,1.919522115774e-05,Very low (1-10)
2021,Calabria,520963,Sud,Terziario,17,0.6296296296296297,3.2631875968158e-05,Low (11-50)
2021,Campania,1592095,Sud,Primario,2,0.01351351351351351,1.256206444967e-06,Very low (1-10)
2021,Campania,1592095,Sud,Secondario,46,0.3108108108108108,2.8892748234244e-05,Low (11-50)
2021,Campania,1592095,Sud,Terziario,100,0.6756756756756757,6.281032224835799e-05,Moderate (51-100)
2021,Emilia Romagna,1978443,NordEst,Primario,1,0.008,5.054479709549378e-07,Very low (1-10)
2021,Emilia Romagna,1978443,NordEst,Secondario,50,0.4,2.5272398547746002e-05,Low (11-50)
2021,Emilia Romagna,1978443,NordEst,Terziario,74,0.5920000000000001,3.7403149850665e-05,Moderate (51-100)
2021,Friuli Venezia Giulia,510300,NordEst,Secondario,18,0.47368421052631576,3.5273368606701e-05,Low (11-50)
2021,Friuli Venezia Giulia,510300,NordEst,Terziario,20,0.5263157894736842,3.9192631785224004e-05,Low (11-50)
2021,Lazio,2265747,Centro,Primario,1,0.007575757575757576,4.413555441097351e-07,Very low (1-10)
2021,Lazio,2265747,Centro,Secondario,34,0.2575757575757576,1.500608849973e-05,Low (11-50)
2021,Lazio,2265747,Centro,Terziario,97,0.7348484848484849,4.2811487778644e-05,Moderate (51-100)
2021,Liguria,594600,NordOvest,Secondario,13,0.30952380952380953,2.1863437605112e-05,Low (11-50)
2021,Liguria,594600,NordOvest,Terziario,29,0.6904761904761905,4.8772283888328e-05,Low (11-50)
2021,Lombardia,4332517,NordOvest,Primario,1,0.004975124378109453,2.3081271233326962e-07,Very low (1-10)
