Year,DescrRegione,Occupati,MacroRegione,TotalDataAccadimento,TotalDataMorte,MorteOgniMilleIncidenti,PercentageMorteAccadimento,Morti per occupati,Incidenti su morti
2020,Valle D'Aosta,53103,NordOvest,1701,2,1.1757789535567313,0.11757789535567313,0.003766265559384592,3.2032088582565956
2020,Veneto,2075427,NordEst,68932,103,1.4942261939302501,0.149422619393025,0.004962834154128283,3.3213406205084546
2021,Abruzzo,484387,Sud,11575,48,4.146868250539956,0.4146868250539957,0.00990943192117047,2.389618218490587
2021,Basilicata,189066,Sud,4165,26,6.24249699879952,0.6242496998799519,0.013751811536712047,2.202934425015603
2021,Calabria,520963,Sud,7958,27,3.3928122643880374,0.3392812264388037,0.005182709712589954,1.5275556997329944
2021,Campania,1592095,Sud,20344,160,7.864726700747148,0.7864726700747149,0.010049651559737327,1.2778131958206012
2021,Emilia Romagna,1978443,NordEst,74981,132,1.7604459796481775,0.17604459796481775,0.00667191321660518,3.7898994310172194
2021,Friuli Venezia Giulia,510300,NordEst,15978,42,2.6286143447239954,0.26286143447239957,0.00823045267489712,3.131099353321576
2021,Lazio,2265747,Centro,37708,141,3.7392595735652914,0.3739259573565291,0.006223113171947264,1.664263485728989
2021,Liguria,594600,NordOvest,19192,42,2.188411838265944,0.2188411838265944,0.007063572149344097,3.227716111671712
2021,Lombardia,4332517,NordOvest,105864,206,1.9458928436484546,0.19458928436484546,0.004754741874065352,2.443475697844925
2021,Marche,616562,Centro,16460,37,2.247873633049818,0.22478736330498178,0.006001018551256808,2.669642306856407
2021,Molise,100276,Sud,1736,22,12.672811059907835,1.2672811059907834,0.02193944712593243,1.7312218277553952
2021,Piemonte,1767300,NordOvest,41847,120,2.8675890744856263,0.28675890744856264,0.00679001867255135,2.3678492615854694
2021,Puglia,1206761,Sud,24845,111,4.467699738377943,0.4467699738377943,0.009198175943703849,2.05881694884074
2021,Sicilia,1310864,Sud,24152,91,3.7678039085789994,0.37678039085789994,0.006941986354038253,1.8424489497003502
2021,Toscana,1546282,Centro,43573,79,1.813049365432722,0.1813049365432722,0.005109029271504163,2.8179206638892516
2021,Trentino Alto Adige,487081,NordEst,21630,31,1.4331946370781323,0.14331946370781323,0.006364444517441658,4.440739835879453
2021,Umbria,354249,Centro,9090,28,3.0803080308030806,0.30803080308030806,0.007904044894975003,2.5659917176900993
2021,Valle D'Aosta,52741,NordOvest,1330,5,3.7593984962406015,0.37593984962406013,0.009480290476100188,2.5217572666426498
2021,Veneto,2080525,NordEst,70535,124,1.7579924859998584,0.17579924859998583,0.005960034126001851,3.39025005707694
2022,Abruzzo,482849,Sud,15814,27,1.7073479195649426,0.17073479195649424,0.005591810276090454,3.2751439891146097
2022,Basilicata,188761,Sud,4282,13,3.035964502568893,0.3035964502568893,0.006887015856029583,2.268477068886052
2022,Calabria,528974,Sud,10276,35,3.4059945504087192,0.3405994550408719,0.006616582289488708,1.9426285601938846
