Year,DescrRegione,AgeGroup,Occupati,MacroRegione,Count,Percentage,PercentageOccupati,SummarisedCount
2018,Veneto,0-14,0,NordEst,5895,0.003206974721205365,0.0,Low (1001-10000)
2018,Veneto,15+,2123868,NordEst,71012,0.03863166902497632,0.03343522290462496,High (50001-100000)
2018,Veneto,15-64,2066335,NordEst,69744,0.03794185665067804,0.033752513508216245,High (50001-100000)
2018,Veneto,65+,57533,NordEst,1268,0.000689812374298287,0.022039525142092363,Low (1001-10000)
2019,Abruzzo,0-14,0,Sud,1129,0.000615164988448629,0.0,Low (1001-10000)
2019,Abruzzo,15+,492615,Sud,12255,0.006677455211193933,0.02487743978563381,Moderate (10001-50000)
2019,Abruzzo,15-64,479217,Sud,11771,0.006413735233860773,0.02456298503600665,Moderate (10001-50000)
2019,Abruzzo,65+,13398,Sud,484,0.000263719977333159,0.0361247947454844,Very low (1-1000)
2019,Basilicata,0-14,0,Sud,513,0.000279521380933699,0.0,Very low (1-1000)
2019,Basilicata,15+,187581,Sud,4264,0.002323351205265681,0.022731513319579278,Low (1001-10000)
2019,Basilicata,15-64,182726,Sud,4143,0.002257421210932391,0.02267329225178683,Low (1001-10000)
2019,Basilicata,65+,4855,Sud,121,6.5929994333289e-05,0.024922760041194644,Very low (1-1000)
2019,Calabria,0-14,0,Sud,1097,0.000597728956889411,0.0,Low (1001-10000)
2019,Calabria,15+,538640,Sud,8826,0.004809075454426572,0.016385712163968513,Low (1001-10000)
2019,Calabria,15-64,518045,Sud,8591,0.004681029597663572,0.01658350143327317,Low (1001-10000)
2019,Calabria,65+,20595,Sud,235,0.000128045856763,0.011410536537994658,Very low (1-1000)
2019,Campania,0-14,0,Sud,2695,0.001468440782877817,0.0,Low (1001-10000)
2019,Campania,15+,1625581,Sud,20457,0.01114652805021577,0.012584423661447814,Moderate (10001-50000)
2019,Campania,15-64,1576708,Sud,19897,0.010841397497929471,0.012619330909718224,Moderate (10001-50000)
2019,Campania,65+,48873,Sud,560,0.000305130552286299,0.011458269392097886,Very low (1-1000)
2019,Emilia Romagna,0-14,0,NordEst,6395,0.0034844819319122962,0.0,Low (1001-10000)
2019,Emilia Romagna,15+,2026012,NordEst,78903,0.04299234994115339,0.03894498156970441,High (50001-100000)
2019,Emilia Romagna,15-64,1960576,NordEst,76962,0.04193474565188962,0.03925479042893517,High (50001-100000)
2019,Emilia Romagna,65+,65436,NordEst,1941,0.001057604289263763,0.029662571061800844,Low (1001-10000)
2019,Friuli Venezia Giulia,0-14,0,NordEst,2003,0.001091386600409746,0.0,Low (1001-10000)
2019,Friuli Venezia Giulia,15+,508166,NordEst,15146,0.008252691687371954,0.029805221128528868,Moderate (10001-50000)
2019,Friuli Venezia Giulia,15-64,494061,NordEst,14877,0.008106120047077284,0.030111666373180638,Moderate (10001-50000)
2019,Friuli Venezia Giulia,65+,14105,NordEst,269,0.000146571640294668,0.01907125132931585,Very low (1-1000)
2019,Lazio,0-14,0,Centro,3546,0.001932130247155747,0.0,Low (1001-10000)
2019,Lazio,15+,2333459,Centro,41772,0.022760559696613048,0.017901321600250958,Moderate (10001-50000)
2019,Lazio,15-64,2269755,Centro,40937,0.022305588248114728,0.01803586730726444,Moderate (10001-50000)
2019,Lazio,65+,63704,Centro,835,0.000454971448498321,0.013107497174431746,Very low (1-1000)
2019,Liguria,0-14,0,NordOvest,1616,0.0008805195937404641,0.0,Low (1001-10000)
2019,Liguria,15+,601748,NordOvest,19156,0.010437644392136352,0.03183392383522671,Moderate (10001-50000)
2019,Liguria,15-64,578830,NordOvest,18764,0.01022405300553594,0.032417117288323,Moderate (10001-50000)
2019,Liguria,65+,22918,NordOvest,392,0.000213591386600409,0.01710445937690898,Very low (1-1000)
2019,Lombardia,0-14,0,NordOvest,13294,0.007243581360882263,0.0,Moderate (10001-50000)
2019,Lombardia,15+,4451020,NordOvest,106831,0.058209646484460136,0.0240014648327799,Very High (100001-200000)
2019,Lombardia,15-64,4340378,NordOvest,105418,0.05743973671592346,0.024287746366791096,Very High (100001-200000)
2019,Lombardia,65+,110642,NordOvest,1413,0.000769909768536681,0.012770918819254896,Low (1001-10000)
2019,Marche,0-14,0,Centro,1597,0.000870166950002179,0.0,Low (1001-10000)
2019,Marche,15+,632493,Centro,17506,0.009538599014864216,0.02767777667104616,Moderate (10001-50000)
2019,Marche,15-64,613509,Centro,16726,0.009113595745608301,0.027262843739863638,Moderate (10001-50000)
2019,Marche,65+,18984,Centro,780,0.000425003269255917,0.04108723135271807,Very low (1-1000)
2019,Molise,0-14,0,Sud,244,0.00013294974063903,0.0,Very low (1-1000)
2019,Molise,15+,108495,Sud,1751,0.000954077851880911,0.01613899258030324,Low (1001-10000)
2019,Molise,15-64,104880,Sud,1666,0.000907763393051741,0.015884820747520977,Low (1001-10000)
2019,Molise,65+,3615,Sud,85,4.6314458829169995e-05,0.02351313969571231,Very low (1-1000)
2019,Piemonte,0-14,0,NordOvest,5592,0.003046946514973192,0.0,Low (1001-10000)
2019,Piemonte,15+,1812535,NordOvest,42188,0.022987228106882876,0.023275688469464036,Moderate (10001-50000)
