Year,DescrRegione,Occupati,MacroRegione,DescrAtecoLiv1,Settore,Count,Percentage,PercentageOccupati,SummarisedCount
2018,Lombardia,4393446,NordOvest,Attivita' manifatturiere,Secondario,38,0.014948859166011018,8.649247083041e-06,Low (11-50)
2018,Lombardia,4393446,NordOvest,"Attivita' professionali, scientifiche e tecniche",Terziario,10,0.001573564122738001,9.104470613727811e-07,Very low (1-10)
2018,Lombardia,4393446,NordOvest,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,16,0.006294256490952006,3.641788245491e-06,Low (11-50)
2018,Lombardia,4393446,NordOvest,Costruzioni,Secondario,31,0.012195121951219513,7.055964725639e-06,Low (11-50)
2018,Lombardia,4393446,NordOvest,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,10,0.001573564122738001,9.104470613727811e-07,Very low (1-10)
2018,Lombardia,4393446,NordOvest,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,10,0.0003933910306845,2.2761176534319529e-07,Very low (1-10)
2018,Lombardia,4393446,NordOvest,Istruzione,Terziario,10,0.000786782061369,4.5522353068639057e-07,Very low (1-10)
2018,Lombardia,4393446,NordOvest,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,15,0.005900865460267506,3.414176480147e-06,Low (11-50)
2018,Lombardia,4393446,NordOvest,Non determinato,Terziario,18,0.007081038552321007,4.097011776177e-06,Low (11-50)
2018,Lombardia,4393446,NordOvest,Sanita' e assistenza sociale,Terziario,10,0.003147128245476003,1.8208941227449999e-06,Very low (1-10)
2018,Lombardia,4393446,NordOvest,Servizi di informazione e comunicazione,Terziario,10,0.0003933910306845,2.2761176534319529e-07,Very low (1-10)
2018,Lombardia,4393446,NordOvest,Trasporto e magazzinaggio,Terziario,33,0.012981904012588513,7.5111882563250005e-06,Low (11-50)
2018,Marche,632187,Centro,Attivita' dei servizi di alloggio e di ristorazione,Terziario,10,0.001180173092053501,4.745431335981e-06,Very low (1-10)
2018,Marche,632187,Centro,Attivita' finanziarie e assicurative,Terziario,10,0.0003933910306845,1.581810445327e-06,Very low (1-10)
2018,Marche,632187,Centro,Attivita' manifatturiere,Secondario,10,0.001180173092053501,4.745431335981e-06,Very low (1-10)
2018,Marche,632187,Centro,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,10,0.000786782061369,3.163620890654e-06,Very low (1-10)
2018,Marche,632187,Centro,Costruzioni,Secondario,10,0.002360346184107002,9.490862671962e-06,Very low (1-10)
2018,Marche,632187,Centro,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,10,0.0003933910306845,1.581810445327e-06,Very low (1-10)
2018,Marche,632187,Centro,Non determinato,Terziario,10,0.001573564122738001,6.327241781308e-06,Very low (1-10)
2018,Marche,632187,Centro,Sanita' e assistenza sociale,Terziario,10,0.0003933910306845,1.581810445327e-06,Very low (1-10)
2018,Marche,632187,Centro,Trasporto e magazzinaggio,Terziario,10,0.001180173092053501,4.745431335981e-06,Very low (1-10)
2018,Molise,105958,Sud,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,10,0.0003933910306845,9.437701730874e-06,Very low (1-10)
2018,Molise,105958,Sud,Attivita' dei servizi di alloggio e di ristorazione,Terziario,10,0.0003933910306845,9.437701730874e-06,Very low (1-10)
2018,Molise,105958,Sud,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,10,0.0003933910306845,9.437701730874e-06,Very low (1-10)
2018,Molise,105958,Sud,Costruzioni,Secondario,10,0.000786782061369,1.8875403461748e-05,Very low (1-10)
2018,Molise,105958,Sud,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,10,0.0003933910306845,9.437701730874e-06,Very low (1-10)
2018,Molise,105958,Sud,Non determinato,Terziario,10,0.002360346184107002,5.6626210385246e-05,Very low (1-10)
2018,Molise,105958,Sud,Trasporto e magazzinaggio,Terziario,10,0.000786782061369,1.8875403461748e-05,Very low (1-10)
2018,Piemonte,1815546,NordOvest,Altre attivita' di servizi,Terziario,10,0.001573564122738001,2.203193970298e-06,Very low (1-10)
2018,Piemonte,1815546,NordOvest,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,10,0.000786782061369,1.101596985149e-06,Very low (1-10)
2018,Piemonte,1815546,NordOvest,Attivita' dei servizi di alloggio e di ristorazione,Terziario,10,0.0003933910306845,5.507984925746856e-07,Very low (1-10)
2018,Piemonte,1815546,NordOvest,Attivita' immobiliari,Terziario,10,0.0003933910306845,5.507984925746856e-07,Very low (1-10)
2018,Piemonte,1815546,NordOvest,Attivita' manifatturiere,Secondario,17,0.006687647521636507,9.363574373768999e-06,Low (11-50)
2018,Piemonte,1815546,NordOvest,"Attivita' professionali, scientifiche e tecniche",Terziario,10,0.000786782061369,1.101596985149e-06,Very low (1-10)
2018,Piemonte,1815546,NordOvest,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,13,0.0051140833988985055,7.16038040347e-06,Low (11-50)
2018,Piemonte,1815546,NordOvest,Costruzioni,Secondario,18,0.007081038552321007,9.914372866344e-06,Low (11-50)
2018,Piemonte,1815546,NordOvest,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,10,0.001180173092053501,1.652395477724e-06,Very low (1-10)
2018,Piemonte,1815546,NordOvest,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,10,0.003933910306845004,5.5079849257460004e-06,Very low (1-10)
2018,Piemonte,1815546,NordOvest,Non determinato,Terziario,17,0.006687647521636507,9.363574373768999e-06,Low (11-50)
2018,Piemonte,1815546,NordOvest,Servizi di informazione e comunicazione,Terziario,10,0.001180173092053501,1.652395477724e-06,Very low (1-10)
2018,Piemonte,1815546,NordOvest,Trasporto e magazzinaggio,Terziario,17,0.006687647521636507,9.363574373768999e-06,Low (11-50)
2018,Puglia,1201700,Sud,Altre attivita' di servizi,Terziario,10,0.001966955153422502,4.160772239327e-06,Very low (1-10)
2018,Puglia,1201700,Sud,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,10,0.0003933910306845,8.32154447865524e-07,Very low (1-10)
2018,Puglia,1201700,Sud,Attivita' dei servizi di alloggio e di ristorazione,Terziario,10,0.001573564122738001,3.3286177914619998e-06,Very low (1-10)
2018,Puglia,1201700,Sud,Attivita' finanziarie e assicurative,Terziario,10,0.0003933910306845,8.32154447865524e-07,Very low (1-10)
2018,Puglia,1201700,Sud,Attivita' manifatturiere,Secondario,10,0.003147128245476003,6.6572355829239995e-06,Very low (1-10)
2018,Puglia,1201700,Sud,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,10,0.003933910306845004,8.321544478655e-06,Very low (1-10)
2018,Puglia,1201700,Sud,Costruzioni,Secondario,10,0.003147128245476003,6.6572355829239995e-06,Very low (1-10)
2018,Puglia,1201700,Sud,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,10,0.001180173092053501,2.496463343596e-06,Very low (1-10)
2018,Puglia,1201700,Sud,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,10,0.001573564122738001,3.3286177914619998e-06,Very low (1-10)
2018,Puglia,1201700,Sud,Non determinato,Terziario,32,0.012588512981904013,2.6628942331695998e-05,Low (11-50)
2018,Puglia,1201700,Sud,Sanita' e assistenza sociale,Terziario,10,0.0003933910306845,8.32154447865524e-07,Very low (1-10)
2018,Puglia,1201700,Sud,Trasporto e magazzinaggio,Terziario,10,0.001966955153422502,4.160772239327e-06,Very low (1-10)
2018,Sardegna,573750,0,0,0,0,0.0,0.0,No deaths
2018,Sicilia,1342938,Sud,"Agricoltura, silvicoltura e pesca",Primario,10,0.0003933910306845,7.44636014469767e-07,Very low (1-10)
2018,Sicilia,1342938,Sud,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,10,0.001180173092053501,2.233908043409e-06,Very low (1-10)
2018,Sicilia,1342938,Sud,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,10,0.0003933910306845,7.44636014469767e-07,Very low (1-10)
2018,Sicilia,1342938,Sud,Attivita' dei servizi di alloggio e di ristorazione,Terziario,10,0.002360346184107002,4.467816086818e-06,Very low (1-10)
2018,Sicilia,1342938,Sud,Attivita' manifatturiere,Secondario,10,0.003147128245476003,5.957088115758e-06,Very low (1-10)
2018,Sicilia,1342938,Sud,"Attivita' professionali, scientifiche e tecniche",Terziario,10,0.0003933910306845,7.44636014469767e-07,Very low (1-10)
2018,Sicilia,1342938,Sud,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,10,0.002360346184107002,4.467816086818e-06,Very low (1-10)
2018,Sicilia,1342938,Sud,Costruzioni,Secondario,13,0.0051140833988985055,9.680268188106e-06,Low (11-50)
2018,Sicilia,1342938,Sud,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,10,0.0003933910306845,7.44636014469767e-07,Very low (1-10)
2018,Sicilia,1342938,Sud,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,10,0.0003933910306845,7.44636014469767e-07,Very low (1-10)
2018,Sicilia,1342938,Sud,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,10,0.0003933910306845,7.44636014469767e-07,Very low (1-10)
2018,Sicilia,1342938,Sud,Non determinato,Terziario,22,0.00865460267505901,1.6381992318334e-05,Low (11-50)
2018,Sicilia,1342938,Sud,Sanita' e assistenza sociale,Terziario,10,0.001573564122738001,2.978544057879e-06,Very low (1-10)
2018,Sicilia,1342938,Sud,Trasporto e magazzinaggio,Terziario,10,0.003147128245476003,5.957088115758e-06,Very low (1-10)
2018,Toscana,1578180,Centro,"Agricoltura, silvicoltura e pesca",Primario,10,0.000786782061369,1.267282565993e-06,Very low (1-10)
2018,Toscana,1578180,Centro,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,10,0.0003933910306845,6.336412829968698e-07,Very low (1-10)
2018,Toscana,1578180,Centro,Attivita' dei servizi di alloggio e di ristorazione,Terziario,10,0.0027537372147915028,4.435488980978e-06,Very low (1-10)
2018,Toscana,1578180,Centro,Attivita' immobiliari,Terziario,10,0.0003933910306845,6.336412829968698e-07,Very low (1-10)
2018,Toscana,1578180,Centro,Attivita' manifatturiere,Secondario,17,0.006687647521636507,1.0771901810946e-05,Low (11-50)
2018,Toscana,1578180,Centro,"Attivita' professionali, scientifiche e tecniche",Terziario,10,0.0003933910306845,6.336412829968698e-07,Very low (1-10)
2018,Toscana,1578180,Centro,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,10,0.002360346184107002,3.801847697981e-06,Very low (1-10)
2018,Toscana,1578180,Centro,Costruzioni,Secondario,10,0.003933910306845004,6.336412829968e-06,Very low (1-10)
2018,Toscana,1578180,Centro,Estrazione di minerali da cave e miniere,Primario,10,0.0003933910306845,6.336412829968698e-07,Very low (1-10)
2018,Toscana,1578180,Centro,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,10,0.001966955153422502,3.168206414984e-06,Very low (1-10)
2018,Toscana,1578180,Centro,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,10,0.001573564122738001,2.534565131987e-06,Very low (1-10)
2018,Toscana,1578180,Centro,Non determinato,Terziario,22,0.00865460267505901,1.3940108225931e-05,Low (11-50)
2018,Toscana,1578180,Centro,Sanita' e assistenza sociale,Terziario,10,0.001180173092053501,1.90092384899e-06,Very low (1-10)
2018,Toscana,1578180,Centro,Servizi di informazione e comunicazione,Terziario,10,0.000786782061369,1.267282565993e-06,Very low (1-10)
2018,Toscana,1578180,Centro,Trasporto e magazzinaggio,Terziario,10,0.003147128245476003,5.069130263974e-06,Very low (1-10)
2018,Total,22958728,Total,"Agricoltura, silvicoltura e pesca",Primario,11,0.004327301337529505,4.791206202712973e-07,Low (11-50)
2018,Total,22958728,Total,Altre attivita' di servizi,Terziario,19,0.007474429583005507,8.275719804686044e-07,Low (11-50)
2018,Total,22958728,Total,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,26,0.010228166797797011,1.132466920641e-06,Low (11-50)
2018,Total,22958728,Total,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,10,0.0027537372147915028,3.0489494017264374e-07,Very low (1-10)
2018,Total,22958728,Total,Attivita' dei servizi di alloggio e di ristorazione,Terziario,70,0.02753737214791503,3.0489494017259997e-06,Moderate (51-100)
2018,Total,22958728,Total,Attivita' finanziarie e assicurative,Terziario,10,0.003540519276160503,3.920077802219705e-07,Very low (1-10)
2018,Total,22958728,Total,Attivita' immobiliari,Terziario,10,0.001573564122738001,1.7422568009865355e-07,Very low (1-10)
2018,Total,22958728,Total,Attivita' manifatturiere,Secondario,203,0.07985837922895359,8.841953265006e-06,High (101-500)
2018,Total,22958728,Total,"Attivita' professionali, scientifiche e tecniche",Terziario,17,0.006687647521636507,7.404591404192776e-07,Low (11-50)
2018,Total,22958728,Total,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,114,0.044846577498033044,4.965431882811e-06,High (101-500)
2018,Total,22958728,Total,Costruzioni,Secondario,186,0.07317073170731707,8.101494124587e-06,High (101-500)
2018,Total,22958728,Total,Estrazione di minerali da cave e miniere,Primario,10,0.001180173092053501,1.3066926007399016e-07,Very low (1-10)
2018,Total,22958728,Total,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,38,0.014948859166011018,1.6551439609370002e-06,Low (11-50)
2018,Total,22958728,Total,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,10,0.001180173092053501,1.3066926007399016e-07,Very low (1-10)
2018,Total,22958728,Total,Istruzione,Terziario,10,0.001180173092053501,1.3066926007399016e-07,Very low (1-10)
2018,Total,22958728,Total,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,73,0.028717545239968528,3.1796186618000004e-06,Moderate (51-100)
