Year,DescrRegione,Genere,Occupati,MacroRegione,Count,Percentage,PercentageOccupati,SummarisedCount
2021,Sicilia,F,469661,Sud,10,0.002496433666191155,1.4904367192506e-05,Very low (1-10)
2021,Sicilia,M,841203,Sud,76,0.02710413694721826,9.0346800950543e-05,Moderate (51-100)
2021,Toscana,F,694121,Centro,14,0.004992867332382311,2.0169394096994e-05,Low (11-50)
2021,Toscana,M,852161,Centro,62,0.022111269614835945,7.275620452003701e-05,Moderate (51-100)
2021,Total,F,9510352,Total,150,0.05349500713266762,1.5772286872241e-05,High (101-500)
2021,Total,M,13043604,Total,1252,0.4465049928673324,9.598574136411899e-05,Extremely High (1001+)
2021,Trentino Alto Adige,F,218097,NordEst,10,0.002853067047075606,3.6680926376795e-05,Very low (1-10)
2021,Trentino Alto Adige,M,268984,NordEst,22,0.007845934379457917,8.1789251405288e-05,Low (11-50)
2021,Umbria,F,158790,Centro,10,0.002853067047075606,5.0381006360602004e-05,Very low (1-10)
2021,Umbria,M,195459,Centro,20,0.007132667617689016,0.000102323249377107,Low (11-50)
2021,Valle D'Aosta,F,24950,0,0,0.0,0.0,No deaths
2021,Valle D'Aosta,M,27791,NordOvest,10,0.001783166904422254,0.000179914360764276,Very low (1-10)
2021,Veneto,F,899756,NordEst,11,0.003922967189728958,1.2225536701061e-05,Low (11-50)
2021,Veneto,M,1180769,NordEst,108,0.03851640513552069,9.1465815921657e-05,High (101-500)
2022,Abruzzo,F,195905,Sud,10,0.001233552631578947,1.5313544830402e-05,Very low (1-10)
2022,Abruzzo,M,286944,Sud,22,0.009046052631578948,7.6670012267201e-05,Low (11-50)
2022,Basilicata,F,69983,0,0,0.0,0.0,No deaths
2022,Basilicata,M,118778,Sud,13,0.005345394736842105,0.00010944787755308201,Low (11-50)
2022,Calabria,F,192999,Sud,10,0.002055921052631578,2.5906869983782e-05,Very low (1-10)
2022,Calabria,M,335975,Sud,29,0.011924342105263157,8.631594612694299e-05,Low (11-50)
2022,Campania,F,579919,Sud,13,0.005345394736842105,2.2416923742798e-05,Low (11-50)
2022,Campania,M,1061381,Sud,95,0.0390625,8.9506030351023e-05,Moderate (51-100)
2022,Emilia Romagna,F,898132,NordEst,14,0.005756578947368422,1.5587909126943e-05,Low (11-50)
2022,Emilia Romagna,M,1103140,NordEst,89,0.036595394736842105,8.0678789636854e-05,Moderate (51-100)
2022,Friuli Venezia Giulia,F,230742,NordEst,10,0.000822368421052631,8.667689454022e-06,Very low (1-10)
2022,Friuli Venezia Giulia,M,289775,NordEst,11,0.004523026315789473,3.7960486584418e-05,Low (11-50)
2022,Lazio,F,1020342,Centro,12,0.004934210526315789,1.1760762567844e-05,Low (11-50)
2022,Lazio,M,1300541,Centro,104,0.04276315789473684,7.9966721541266e-05,High (101-500)
2022,Liguria,F,266341,0,0,0.0,0.0,No deaths
2022,Liguria,M,349775,NordOvest,28,0.011513157894736843,8.005146165392e-05,Low (11-50)
2022,Lombardia,F,1927460,NordOvest,17,0.0069901315789473685,8.819897689186e-06,Low (11-50)
2022,Lombardia,M,2496936,NordOvest,182,0.07483552631578948,7.2889333166729e-05,High (101-500)
2022,Marche,F,282538,Centro,10,0.002467105263157894,2.1236081518238e-05,Very low (1-10)
2022,Marche,M,356723,Centro,32,0.013157894736842106,8.970545773611401e-05,Low (11-50)
2022,Molise,F,40793,Sud,10,0.000822368421052631,4.9028019513150995e-05,Very low (1-10)
2022,Molise,M,62300,Sud,10,0.002055921052631578,8.0256821829855e-05,Very low (1-10)
2022,Piemonte,F,797062,NordOvest,11,0.004523026315789473,1.3800683008348e-05,Low (11-50)
2022,Piemonte,M,988256,NordOvest,88,0.036184210526315784,8.9045753327073e-05,Moderate (51-100)
2022,Puglia,F,453082,Sud,10,0.003700657894736842,1.9863953986254e-05,Very low (1-10)
2022,Puglia,M,813545,Sud,69,0.028371710526315787,8.481399307966901e-05,Moderate (51-100)
2022,Sardegna,F,238337,0,0,0.0,0.0,No deaths
2022,Sardegna,M,327814,0,0,0.0,0.0,No deaths
2022,Sicilia,F,482748,Sud,10,0.002878289473684211,1.4500319007018001e-05,Very low (1-10)
2022,Sicilia,M,854269,Sud,65,0.026726973684210526,7.608844520871e-05,Moderate (51-100)
2022,Toscana,F,730298,Centro,10,0.004111842105263157,1.3693040375298e-05,Very low (1-10)
2022,Toscana,M,887415,Centro,76,0.03125,8.5642005149788e-05,Moderate (51-100)
2022,Total,F,9749198,Total,132,0.05427631578947368,1.3539575255318e-05,High (101-500)
2022,Total,M,13350193,Total,1084,0.4457236842105263,8.1197328008666e-05,Extremely High (1001+)
2022,Trentino Alto Adige,F,230103,NordEst,10,0.001644736842105263,1.7383519554286e-05,Very low (1-10)
2022,Trentino Alto Adige,M,276217,NordEst,34,0.013980263157894737,0.00012309162723510801,Low (11-50)
2022,Umbria,F,157830,Centro,10,0.000411184210526315,6.33593106507e-06,Very low (1-10)
2022,Umbria,M,194468,Centro,22,0.009046052631578948,0.000113129152354114,Low (11-50)
2022,Valle D'Aosta,F,26050,0,0,0.0,0.0,No deaths
2022,Valle D'Aosta,M,29114,NordOvest,10,0.002878289473684211,0.000240434155389159,Very low (1-10)
2022,Veneto,F,928534,NordEst,16,0.006578947368421053,1.7231463791309e-05,Low (11-50)
2022,Veneto,M,1216827,NordEst,113,0.04646381578947368,9.286447457198101e-05,High (101-500)
2023,Abruzzo,F,212042,0,0,0.0,0.0,No deaths
2023,Abruzzo,M,290074,Sud,11,0.01566951566951567,3.7921357998303e-05,Low (11-50)
2023,Basilicata,F,73520,0,0,0.0,0.0,No deaths
2023,Basilicata,M,120655,Sud,10,0.001424501424501424,8.288094152749e-06,Very low (1-10)
2023,Calabria,F,196407,0,0,0.0,0.0,No deaths
2023,Calabria,M,342776,Sud,10,0.005698005698005698,1.1669428431395e-05,Very low (1-10)
2023,Campania,F,589552,Sud,10,0.005698005698005698,6.784812874860001e-06,Very low (1-10)
2023,Campania,M,1094401,Sud,25,0.03561253561253561,2.2843546378337998e-05,Low (11-50)
2023,Emilia Romagna,F,908128,0,0,0.0,0.0,No deaths
2023,Emilia Romagna,M,1115022,NordEst,24,0.034188034188034185,2.1524238983625e-05,Low (11-50)
2023,Friuli Venezia Giulia,F,231915,0,0,0.0,0.0,No deaths
2023,Friuli Venezia Giulia,M,288001,NordEst,10,0.014245014245014245,3.4722101659368997e-05,Very low (1-10)
2023,Lazio,F,1037458,Centro,10,0.009971509971509971,6.747261093943e-06,Very low (1-10)
2023,Lazio,M,1337948,Centro,28,0.039886039886039885,2.0927569681332003e-05,Low (11-50)
2023,Liguria,F,280746,NordOvest,10,0.004273504273504273,1.0685815648308001e-05,Very low (1-10)
2023,Liguria,M,352271,NordOvest,10,0.009971509971509971,1.9871065174254997e-05,Very low (1-10)
2023,Lombardia,F,1978916,NordOvest,10,0.008547008547008546,3.031962953455e-06,Very low (1-10)
2023,Lombardia,M,2521800,NordOvest,66,0.09401709401709402,2.6171782060433e-05,Moderate (51-100)
2023,Marche,F,284720,0,0,0.0,0.0,No deaths
2023,Marche,M,356387,Centro,10,0.012820512820512822,2.5253446393947997e-05,Very low (1-10)
2023,Molise,F,42427,0,0,0.0,0.0,No deaths
2023,Molise,M,63886,0,0,0.0,0.0,No deaths
2023,Piemonte,F,798529,0,0,0.0,0.0,No deaths
2023,Piemonte,M,1002332,NordOvest,25,0.03561253561253561,2.4941835639289e-05,Low (11-50)
2023,Puglia,F,469897,0,0,0.0,0.0,No deaths
2023,Puglia,M,822749,Sud,23,0.03276353276353277,2.7955062844196e-05,Low (11-50)
2023,Sardegna,F,247647,0,0,0.0,0.0,No deaths
2023,Sardegna,M,329062,0,0,0.0,0.0,No deaths
2023,Sicilia,F,516568,Sud,10,0.002849002849002849,3.8717071131e-06,Very low (1-10)
2023,Sicilia,M,894208,Sud,22,0.03133903133903134,2.4602776982536e-05,Low (11-50)
2023,Toscana,F,728098,Centro,10,0.002849002849002849,2.7468829745440003e-06,Very low (1-10)
2023,Toscana,M,899937,Centro,17,0.02421652421652422,1.8890211203673e-05,Low (11-50)
2023,Total,F,9988556,Total,27,0.038461538461538464,2.703093420109e-06,Low (11-50)
2023,Total,M,13591391,Total,324,0.4615384615384615,2.3838619608544002e-05,High (101-500)
2023,Trentino Alto Adige,F,231241,NordEst,10,0.004273504273504273,1.2973477886706001e-05,Very low (1-10)
2023,Trentino Alto Adige,M,276467,NordEst,10,0.009971509971509971,2.5319477550666e-05,Very low (1-10)
2023,Umbria,F,160107,0,0,0.0,0.0,No deaths
2023,Umbria,M,201489,Centro,11,0.01566951566951567,5.4593551012710005e-05,Low (11-50)
2023,Valle D'Aosta,F,26767,0,0,0.0,0.0,No deaths
2023,Valle D'Aosta,M,30046,NordOvest,10,0.001424501424501424,3.3282300472608e-05,Very low (1-10)
2023,Veneto,F,973871,0,0,0.0,0.0,No deaths
2023,Veneto,M,1251880,NordEst,33,0.04700854700854701,2.6360354027541998e-05,Low (11-50)
2024,Abruzzo,M,0,Sud,10,0.00969529085872576,0.0,Very low (1-10)
2024,Basilicata,M,0,Sud,10,0.00554016620498615,0.0,Very low (1-10)
2024,Calabria,F,0,Sud,10,0.002770083102493075,0.0,Very low (1-10)
